id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,CEP,Bairro,Cidade,UF,Logradouro,renda_sm,cluster
431830,2022,-23.6286631085083,-46.6709261447726,5,kilometer,371.0,12147.63,13.0,14.0,17.0,11.0,55,04624-050,Brooklin Velho,São Paulo,São Paulo,Rua Doutor Silvino Canúto Abreu,8.802630434782609,0
431831,2022,-23.6248107803694,-46.6693273077088,5,kilometer,344.0,12759.84,16.0,12.0,11.0,10.0,49,04625-014,Brooklin Velho,São Paulo,São Paulo,Rua João de Sousa Dias,9.246260869565218,0
431832,2022,-23.6305486217263,-46.6671571740212,5,kilometer,372.0,6150.53,15.0,10.0,11.0,11.0,47,04633-050,Brooklin Velho,São Paulo,São Paulo,Rua Padre Leonardo,4.456905797101449,2
431835,2022,-23.63586372626,-46.671313706326494,5,kilometer,362.0,7752.02,16.0,17.0,11.0,15.0,59,04623-050,Brooklin Velho,São Paulo,São Paulo,Rua Laplace,5.6174057971014495,2
431836,2022,-23.6338799406542,-46.6699501798723,5,kilometer,407.0,1739.35,29.0,31.0,37.0,43.0,140,04633-050,Campo Belo,São Paulo,São Paulo,Rua Emboabas,1.2603985507246376,2
431837,2022,-23.6329710139831,-46.67335644153,5,kilometer,453.0,7220.12,14.0,32.0,32.0,30.0,108,04620-004,Campo Belo,São Paulo,São Paulo,Rua Tibiriçá,5.231971014492753,2
431838,2022,-23.6310488571326,-46.6754549397326,5,kilometer,306.0,13643.02,13.0,15.0,17.0,13.0,58,04620-004,Brooklin Velho,São Paulo,São Paulo,Rua Vicente Leporace,9.886246376811595,0
431839,2022,-23.6247084388718,-46.671746000399,5,kilometer,400.0,15228.9,14.0,12.0,14.0,17.0,57,04617-014,Brooklin Velho,São Paulo,São Paulo,Rua República do Iraque,11.035434782608695,0
431840,2022,-23.6222939311765,-46.67073837497591,5,kilometer,452.0,16218.93,20.0,25.0,21.0,20.0,86,04610-003,Brooklin Velho,São Paulo,São Paulo,Rua Zacarias de Góis,11.752847826086956,0
431849,2022,-23.6370672899706,-46.6685333225539,5,kilometer,373.0,6278.21,15.0,11.0,19.0,13.0,58,04362-000,Campo Belo,São Paulo,São Paulo,Rua Lacedemonia,4.549427536231884,2
431850,2022,-23.6401850877585,-46.671742261988,5,kilometer,448.0,8090.96,11.0,14.0,17.0,20.0,62,04635-052,Campo Belo,São Paulo,São Paulo,Avenida Doutor Abelardo Vergueiro César,5.863014492753623,2
431851,2022,-23.641397568319,-46.6717715278976,5,kilometer,543.0,9708.23,22.0,23.0,15.0,21.0,81,04635-052,Campo Belo,São Paulo,São Paulo,Rua Lacedemonia,7.034949275362319,0
431852,2022,-23.637648390061,-46.6733191650379,5,kilometer,257.0,8441.2,7.0,9.0,15.0,14.0,45,04635-052,Campo Belo,São Paulo,São Paulo,Rua Emboabas,6.116811594202899,2
431853,2022,-23.6286974331208,-46.6826804766539,5,kilometer,438.0,11048.53,14.0,34.0,31.0,22.0,101,04636-000,Brooklin Velho,São Paulo,São Paulo,Rua Professor Henrique Neves Lefevre,8.00618115942029,0
431854,2022,-23.6267290377156,-46.6805282934965,5,kilometer,406.0,12695.13,21.0,23.0,20.0,22.0,86,04620-004,Brooklin Velho,São Paulo,São Paulo,Rua Joaquim Nabuco,9.19936956521739,0
431855,2022,-23.6221708668732,-46.6743405991409,5,kilometer,312.0,16677.5,19.0,20.0,14.0,18.0,71,04617-002,Brooklin Velho,São Paulo,São Paulo,Rua Conde de Porto Alegre,12.085144927536232,0
431920,2022,-23.6220638062031,-46.672737296581694,5,kilometer,237.0,8579.82,3.0,9.0,8.0,12.0,32,04617-000,Brooklin Velho,São Paulo,São Paulo,Rua João Álvares Soares,6.217260869565218,2
431921,2022,-23.6209451213855,-46.6716632564646,5,kilometer,435.0,10043.33,16.0,12.0,12.0,11.0,51,04610-003,Brooklin Velho,São Paulo,São Paulo,Rua Pascal,7.277775362318841,0
431922,2022,-23.6193018324363,-46.671565969199904,5,kilometer,296.0,14744.06,11.0,10.0,12.0,18.0,51,04614-013,Brooklin Velho,São Paulo,São Paulo,Rua Doutor Jesuíno Maciel,10.684101449275362,0
431928,2022,-23.6400059634019,-46.6680669370851,5,kilometer,323.0,7246.45,9.0,12.0,8.0,16.0,45,04362-000,Campo Belo,São Paulo,São Paulo,Rua Albuquerque Souza Muniz,5.251050724637681,2
431929,2022,-23.641537724343,-46.6737025805389,5,kilometer,317.0,6365.98,6.0,20.0,13.0,6.0,45,04635-052,Campo Belo,São Paulo,São Paulo,Rua Professor João Batista de Castro,4.613028985507246,2
431930,2022,-23.631663653891,-46.6816551394705,5,kilometer,303.0,5234.64,13.0,13.0,12.0,15.0,53,04623-050,Brooklin Velho,São Paulo,São Paulo,Rua do Radium,3.793217391304348,2
431931,2022,-23.6263967135344,-46.6853787282007,5,kilometer,301.0,22933.93,7.0,15.0,15.0,20.0,57,04602-000,Brooklin Velho,São Paulo,São Paulo,Rua Barão do Triunfo,16.618789855072464,3
431932,2022,-23.6227388366205,-46.6841170350916,5,kilometer,216.0,40136.19,11.0,8.0,5.0,8.0,32,04702-000,Brooklin Velho,São Paulo,São Paulo,Rua Laurentino Gonçalves,29.084195652173914,3
431933,2022,-23.6230928123882,-46.6813383023315,5,kilometer,354.0,10843.62,13.0,11.0,19.0,6.0,49,04602-002,Brooklin Velho,São Paulo,São Paulo,,7.857695652173914,0
431936,2022,-23.6178732669179,-46.6771324301575,5,kilometer,424.0,18226.11,14.0,10.0,22.0,19.0,65,04617-000,Brooklin Velho,São Paulo,São Paulo,Rua Vieira de Morais,13.207326086956522,0
431937,2022,-23.6162900307423,-46.675371986984494,5,kilometer,225.0,14911.77,,6.0,5.0,20.0,31,04614-012,Brooklin Velho,São Paulo,São Paulo,Rua Doutor Jesuíno Maciel,10.805630434782609,0
431938,2022,-23.6168848856063,-46.672885063079,5,kilometer,311.0,13329.35,22.0,20.0,17.0,7.0,66,04610-004,Brooklin Velho,São Paulo,São Paulo,Rua Demóstenes,9.65894927536232,0
431939,2022,-23.6191088220988,-46.6729864313087,5,kilometer,206.0,17189.62,3.0,8.0,5.0,4.0,20,04617-012,Brooklin Velho,São Paulo,São Paulo,Rua Anesio Martins de Siqueira,12.456246376811594,0
431940,2022,-23.6163717196581,-46.6786769922242,5,kilometer,519.0,16631.95,16.0,10.0,16.0,20.0,62,04615-000,Brooklin Velho,São Paulo,São Paulo,Rua Gil Eanes,12.05213768115942,0
431941,2022,-23.6120117536099,-46.6762359325566,5,kilometer,211.0,9818.23,9.0,8.0,10.0,14.0,41,04614-010,Campo Belo,São Paulo,São Paulo,Rua Comendador Eduardo Saccab,7.114659420289855,2
431942,2022,-23.6133759880769,-46.6739037570623,5,kilometer,448.0,15223.82,27.0,16.0,19.0,31.0,93,04605-000,Brooklin Velho,São Paulo,São Paulo,Rua Otávio Tarquínio de Sousa,11.031753623188406,0
431945,2022,-23.6271479881567,-46.669951981774304,5,kilometer,401.0,16023.46,12.0,19.0,22.0,37.0,90,04624-080,Brooklin Velho,São Paulo,São Paulo,Rua Paiaguás,11.611202898550724,0
431946,2022,-23.6258977369247,-46.6708524760713,5,kilometer,319.0,12802.29,16.0,9.0,8.0,15.0,48,04617-020,Brooklin Velho,São Paulo,São Paulo,Rua Edson,9.277021739130435,0
431948,2022,-23.6368892673638,-46.6700343129047,5,kilometer,163.0,6769.06,4.0,7.0,8.0,10.0,29,04633-050,Campo Belo,São Paulo,São Paulo,Avenida Jônia,4.905115942028986,2
431949,2022,-23.6345041608038,-46.6727882834882,5,kilometer,337.0,8164.57,8.0,22.0,7.0,18.0,55,04620-004,Brooklin Velho,São Paulo,São Paulo,Rua Hermilo Borba Filho,5.916355072463768,2
431950,2022,-23.6241181377348,-46.6701870700158,5,kilometer,243.0,8311.76,5.0,9.0,8.0,8.0,30,04625-014,Brooklin Velho,São Paulo,São Paulo,Rua João de Sousa Dias,6.0230144927536235,2
431951,2022,-23.6225765428024,-46.6692363972781,5,kilometer,240.0,7880.82,3.0,10.0,6.0,10.0,29,04616-004,Brooklin Velho,São Paulo,São Paulo,Rua Pascal,5.710739130434782,2
431956,2022,-23.636556532678,-46.6756961714021,5,kilometer,434.0,11463.29,7.0,18.0,26.0,19.0,70,04636-001,Campo Belo,São Paulo,São Paulo,Rua Tomé Portes,8.306731884057971,0
431957,2022,-23.6230914362829,-46.6714600815635,5,kilometer,192.0,12618.42,12.0,6.0,6.0,4.0,28,04608-010,Brooklin Velho,São Paulo,São Paulo,Rua Zacarias de Góis,9.143782608695652,0
431960,2022,-23.6412506571704,-46.6671271505436,5,kilometer,287.0,4756.37,8.0,8.0,11.0,8.0,35,04362-000,Campo Belo,São Paulo,São Paulo,Avenida Santa Catarina,3.446644927536232,2
431961,2022,-23.6252484751529,-46.6833712607684,5,kilometer,336.0,10710.51,11.0,12.0,9.0,8.0,40,04622-000,Brooklin Velho,São Paulo,São Paulo,Avenida Vereador José Diniz,7.761239130434783,0
431962,2022,-23.624783764002,-46.6841648093384,5,kilometer,310.0,12565.41,9.0,11.0,22.0,19.0,61,04621-002,Brooklin Velho,São Paulo,São Paulo,Rua Barão do Triunfo,9.10536956521739,0
431963,2022,-23.6234416368377,-46.6833043182801,5,kilometer,189.0,9203.07,8.0,4.0,3.0,3.0,18,04602-002,Brooklin Velho,São Paulo,São Paulo,Rua Barão do Triunfo,6.6688913043478255,2
431964,2022,-23.6242954446431,-46.6843624878193,5,kilometer,238.0,11352.51,10.0,16.0,10.0,7.0,43,04621-002,Brooklin Velho,São Paulo,São Paulo,Rua Princesa Isabel,8.22645652173913,0
431965,2022,-23.6246191034549,-46.6856442155037,5,kilometer,513.0,19282.9,32.0,35.0,32.0,39.0,138,04702-000,Brooklin Velho,São Paulo,São Paulo,Avenida Santo Amaro,13.973115942028986,0
431966,2022,-23.6193294532298,-46.676188402985,5,kilometer,252.0,10266.21,7.0,9.0,7.0,7.0,30,04603-002,Brooklin Velho,São Paulo,São Paulo,Rua Constantino de Sousa,7.439282608695652,2
431968,2022,-23.616949046178,-46.6739460521729,5,kilometer,228.0,15650.5,,5.0,,,5,04614-013,Brooklin Velho,São Paulo,São Paulo,Rua Demóstenes,11.340942028985507,0
431969,2022,-23.6181450350232,-46.6750671319837,5,kilometer,204.0,17773.15,9.0,10.0,6.0,8.0,33,04610-003,Brooklin Velho,São Paulo,São Paulo,Rua Pascal,12.879094202898552,0
431970,2022,-23.6165923307137,-46.680045117862,5,kilometer,168.0,9282.49,,,3.0,,3,04555-001,Brooklin Velho,São Paulo,São Paulo,Rua Álvaro Luis Roberto de Assunção,6.726442028985507,2
431971,2022,-23.6328653886137,-46.6707942674071,5,kilometer,330.0,1899.29,16.0,20.0,22.0,28.0,86,04620-004,Brooklin Velho,São Paulo,São Paulo,Avenida Jornalista Roberto Marinho,1.3762971014492753,2
431974,2022,-23.6319683569181,-46.671537807483,5,kilometer,170.0,1889.58,8.0,14.0,7.0,18.0,47,04620-004,Brooklin Velho,São Paulo,São Paulo,Avenida Jornalista Roberto Marinho,1.3692608695652173,2
431975,2022,-23.6252073495351,-46.6771377503309,5,kilometer,107.0,1844.16,,5.0,6.0,5.0,16,04608-010,Brooklin Velho,São Paulo,São Paulo,Avenida Jornalista Roberto Marinho,1.3363478260869566,2
431976,2022,-23.6243843170378,-46.6766210801699,5,kilometer,141.0,1598.61,9.0,10.0,6.0,8.0,33,04608-010,Brooklin Velho,São Paulo,São Paulo,Avenida Jornalista Roberto Marinho,1.158413043478261,2
431977,2022,-23.6309095526479,-46.6732258200655,5,kilometer,229.0,1987.64,24.0,19.0,16.0,12.0,71,04608-010,Brooklin Velho,São Paulo,São Paulo,Rua Bernardino de Campos,1.4403188405797103,2
431978,2022,-23.6270980811234,-46.6730002698692,5,kilometer,234.0,12946.9,11.0,6.0,7.0,7.0,31,04608-010,Brooklin Velho,São Paulo,São Paulo,Rua Volta Redonda,9.381811594202897,0
431979,2022,-23.6279705680466,-46.6722978367556,5,kilometer,214.0,11660.79,4.0,4.0,3.0,8.0,19,04608-010,Brooklin Velho,São Paulo,São Paulo,Rua Xavier Gouveia,8.449847826086957,0
431980,2022,-23.6259753190178,-46.6729157442956,5,kilometer,207.0,10489.69,6.0,11.0,4.0,9.0,30,04617-014,Brooklin Velho,São Paulo,São Paulo,Rua República do Iraque,7.60122463768116,2
431981,2022,-23.6271794752724,-46.6715630251139,5,kilometer,278.0,13579.82,6.0,8.0,8.0,9.0,31,04608-010,Brooklin Velho,São Paulo,São Paulo,Rua Volta Redonda,9.84044927536232,0
431982,2022,-23.6258245197506,-46.6682171730496,5,kilometer,339.0,10515.49,20.0,7.0,12.0,12.0,51,04625-005,Brooklin Velho,São Paulo,São Paulo,Rua Selma,7.619920289855072,0
431984,2022,-23.6229630528856,-46.675108798779696,5,kilometer,457.0,25657.31,30.0,39.0,42.0,30.0,141,04608-010,Brooklin Velho,São Paulo,São Paulo,Rua Conde de Porto Alegre,18.592253623188405,3
431985,2022,-23.6238371979869,-46.6734312174761,5,kilometer,382.0,18504.49,14.0,13.0,13.0,11.0,51,04617-020,Brooklin Velho,São Paulo,São Paulo,Rua Edson,13.409050724637682,0
431986,2022,-23.619959263036,-46.6771657775964,5,kilometer,150.0,12307.32,0.0,0.0,0.0,0.0,0,04603-002,Brooklin Velho,São Paulo,São Paulo,Avenida Vereador José Diniz,8.918347826086956,0
431988,2022,-23.6215684985609,-46.6754710471522,5,kilometer,235.0,12832.55,8.0,16.0,5.0,7.0,36,04617-020,Brooklin Velho,São Paulo,São Paulo,Rua Edson,9.298949275362318,0
431989,2022,-23.6214071970961,-46.6748596674644,5,kilometer,186.0,12485.55,9.0,10.0,4.0,6.0,29,04617-002,Brooklin Velho,São Paulo,São Paulo,Rua João de Sousa Dias,9.0475,0
431990,2022,-23.6201857196174,-46.678569212410494,5,kilometer,359.0,20178.96,20.0,20.0,21.0,22.0,83,04603-002,Brooklin Velho,São Paulo,São Paulo,Avenida Vereador José Diniz,14.622434782608694,0
431991,2022,-23.6194029705186,-46.6778307550112,5,kilometer,261.0,16308.92,10.0,10.0,14.0,6.0,40,04603-002,Brooklin Velho,São Paulo,São Paulo,Rua Barão do Triunfo,11.818057971014493,0
431992,2022,-23.6289158281096,-46.6685138700899,5,kilometer,302.0,21257.48,34.0,26.0,26.0,12.0,98,04625-022,Brooklin Velho,São Paulo,São Paulo,Rua Tamoios,15.403971014492754,3
431993,2022,-23.6291827939192,-46.668106343475,5,kilometer,281.0,21310.53,30.0,17.0,17.0,9.0,73,04625-022,Brooklin Velho,São Paulo,São Paulo,Rua Tamoios,15.44241304347826,3
431994,2022,-23.62951528911,-46.668581393852,5,kilometer,274.0,18410.37,25.0,27.0,26.0,9.0,87,04625-022,Brooklin Velho,São Paulo,São Paulo,Rua Tapes,13.340847826086955,0
431995,2022,-23.6317981111305,-46.6683414975428,5,kilometer,248.0,6848.65,15.0,11.0,4.0,10.0,40,04633-050,Brooklin Velho,São Paulo,São Paulo,Rua Padre Leonardo,4.962789855072463,2
