CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,score_trafego_2025
04727-002,Santo Amaro,18074.72,117.0,644.0,2114742.48
04662-901,Jardim Santo Amaro,34613.37,60.0,546.0,2076802.5
04719-050,Granja Julieta,26215.79,73.5,558.5,1926860.68
04717-004,Chácara Santo Antônio,16986.64,108.0,680.0,1834557.42
04755-070,Santo Amaro,16676.21,92.0,554.0,1534211.63
05708-290,Vila Andrade,25081.82,54.0,462.5,1354418.5
04730-990,Granja Julieta,18504.49,64.5,434.0,1193539.72
04750-000,Santo Amaro,13013.71,88.0,586.0,1145206.34
04710-190,Chácara Santo Antônio,18047.71,53.0,302.0,956528.45
05749-260,Vila Andrade,13511.27,69.5,582.5,939033.32
04757-000,Santo Amaro,14798.74,62.0,511.0,917521.74
04741-011,Jardim Santo Amaro,24233.84,35.0,281.5,848184.41
04736-000,Jardim Santo Amaro,17748.31,46.0,393.0,816422.14
05707-400,Vila Andrade,33537.0,23.0,267.0,771350.9
04739-040,Jardim Santo Amaro,19038.87,39.0,514.0,742515.92
05712-070,Vila Andrade,9707.0,75.0,457.5,728025.09
04729-060,Granja Julieta,12893.55,56.0,486.5,722039.01
04748-000,Chácara Flora,21379.69,32.0,307.0,684149.93
04645-000,Chácara Flora,20641.26,33.0,438.5,681161.55
05724-003,Vila Andrade,21584.99,31.5,332.5,679927.07
04733-100,Santo Amaro,12790.18,53.0,488.0,677879.61
04725-020,Santo Amaro,11151.52,60.0,568.0,669091.5
04739-010,Santo Amaro,16267.55,40.0,493.0,650702.05
05734-150,Vila Andrade,13523.03,48.0,371.0,649105.38
04735-001,Santo Amaro,12278.1,51.0,512.0,626183.12
04747-901,Jardim Santo Amaro,14677.79,42.0,451.0,616467.02
05707-001,Vila Andrade,22341.67,27.0,278.0,603225.02
05734-100,Vila Andrade,9681.01,62.0,531.0,600222.85
05717-270,Vila Andrade,22152.43,26.0,289.0,575963.09
04642-000,Jardim Santo Amaro,12285.07,46.0,404.0,565112.99
04738-000,Santo Amaro,15468.8,36.5,382.0,564611.18
05734-140,Vila Andrade,10070.09,55.0,404.0,553854.78
04710-000,Chácara Santo Antônio,25861.42,20.0,286.0,517228.4
04718-001,Chácara Santo Antônio,15269.41,33.0,359.0,503890.59
04741-140,Jardim Santo Amaro,16485.65,30.0,397.0,494569.5
05715-010,Vila Andrade,16624.85,29.5,354.5,490433.09
04719-000,Santo Amaro,19695.05,24.0,294.0,472681.16
04671-071,Jardim Santo Amaro,12645.58,37.0,472.0,467886.28
04735-000,Santo Amaro,12758.55,35.0,338.0,446549.31
04739-001,Santo Amaro,15648.78,28.0,316.0,438165.93
04750-001,Santo Amaro,13643.31,32.0,326.0,436585.93
04717-001,Chácara Santo Antônio,12809.33,34.0,466.5,435517.06
04715-004,Chácara Santo Antônio,10279.93,41.0,381.0,421477.02
05705-170,Vila Andrade,19949.83,21.0,293.0,418946.43
04702-002,Santo Amaro,14296.23,29.0,416.0,414590.73
04734-001,Santo Amaro,17148.42,24.0,275.0,411562.17
04722-000,Santo Amaro,13695.41,30.0,350.0,410862.38
05716-150,Vila Andrade,17273.16,23.0,311.0,397282.76
04745-050,Jardim Santo Amaro,13836.23,28.5,300.5,394332.56
04795-100,Jardim Santo Amaro,10404.29,37.0,444.0,384958.59
04717-000,Granja Julieta,12023.82,32.0,343.0,384762.1
04641-000,Chácara Flora,16021.55,23.5,392.0,376506.37
05707-000,Vila Andrade,18421.83,20.0,334.0,368436.68
04736-001,Jardim Santo Amaro,16685.0,22.0,347.0,367069.94
04603-000,Santo Amaro,10960.29,33.0,377.0,361689.62
04724-000,Santo Amaro,13734.67,26.0,308.0,357101.44
05718-300,Vila Andrade,10759.45,32.5,269.5,349682.27
05724-005,Vila Andrade,9465.06,36.0,386.0,340742.28
04753-060,Santo Amaro,7148.48,47.0,560.0,335978.55
04741-010,Jardim Santo Amaro,11576.74,29.0,306.5,335725.41
05712-040,Vila Andrade,6512.38,48.0,406.5,312594.0
04742-090,Jardim Santo Amaro,8466.73,36.0,497.0,304802.19
05641-000,Vila Andrade,14998.37,20.0,281.0,299967.36
04741-001,Jardim Santo Amaro,10648.05,26.0,418.0,276849.27
04713-001,Chácara Santo Antônio,10126.08,27.0,425.0,273404.2
05642-001,Vila Andrade,17964.04,15.0,238.0,269460.66
05725-050,Vila Andrade,13210.12,20.0,193.0,264202.32
05640-000,Vila Andrade,17366.25,15.0,244.0,260493.68
04717-003,Chácara Santo Antônio,12821.7,20.0,429.0,256434.02
04746-000,Jardim Santo Amaro,6872.63,37.0,503.0,254287.14
04719-020,Chácara Santo Antônio,11461.7,22.0,405.0,252157.41
04701-200,Santo Amaro,12599.31,20.0,448.0,251986.12
04743-030,Jardim Santo Amaro,7103.49,33.0,401.0,234415.25
