CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,score_trafego_2025
04727-002,Santo Amaro,18074.72,117.0,644.0,2114742.48
04662-901,Jardim Santo Amaro,34613.37,60.0,546.0,2076802.5
04719-050,Granja Julieta,26215.79,73.5,558.5,1926860.68
04717-004,Chácara Santo Antônio,16986.64,108.0,680.0,1834557.42
04696-000,Campo Grande,20353.56,79.0,713.5,1607931.25
04755-070,Santo Amaro,16676.21,92.0,554.0,1534211.63
05708-290,Vila Andrade,25081.82,54.0,462.5,1354418.5
04708-001,Jardim Petrópolis,17478.78,77.0,678.0,1345865.81
04566-001,Brooklin Novo,34482.87,38.0,372.0,1310349.12
04567-110,Brooklin Novo,32052.22,39.5,250.5,1266062.7
04730-990,Granja Julieta,18504.49,64.5,434.0,1193539.72
04750-000,Santo Amaro,13013.71,88.0,586.0,1145206.34
04625-022,Brooklin Velho,22908.18,49.5,277.5,1133955.08
04711-130,Brooklin Novo,28064.82,40.0,370.5,1122592.78
04766-000,Socorro,6133.08,177.0,1835.0,1085555.98
04582-000,Brooklin Novo,19016.44,54.5,496.0,1036395.97
04614-001,Brooklin Velho,22053.64,45.0,267.0,992413.77
04710-190,Chácara Santo Antônio,18047.71,53.0,302.0,956528.45
05749-260,Vila Andrade,13511.27,69.5,582.5,939033.32
05727-160,Paraisópolis,15878.33,58.0,383.0,920943.02
04757-000,Santo Amaro,14798.74,62.0,511.0,917521.74
04636-001,Jardim dos Estados,21248.6,43.0,452.0,913689.98
05726-130,Paraisópolis,19375.63,47.0,432.0,910654.76
04561-004,Vila Olímpia,22760.21,39.0,231.0,887648.21
04381-000,Cidade Ademar,14770.63,59.0,353.0,871466.88
04675-901,Campo Grande,9896.99,87.0,707.0,861037.88
04741-011,Jardim Santo Amaro,24233.84,35.0,281.5,848184.41
04570-001,Vila Olímpia,22751.98,37.0,368.0,841823.09
04626-000,Chácara Monte Alegre,15804.75,52.0,624.0,821847.23
04736-000,Jardim Santo Amaro,17748.31,46.0,393.0,816422.14
05615-001,Morumbi,19877.97,39.0,570.0,775240.67
05685-010,Morumbi,19816.97,39.0,482.0,772861.84
05707-400,Vila Andrade,33537.0,23.0,267.0,771350.9
04605-000,Brooklin Velho,17583.51,43.0,448.0,756091.02
04704-070,Brooklin Novo,17700.82,42.5,275.5,752284.84
04571-011,Brooklin Novo,22721.11,33.0,278.0,749796.76
04708-000,Jardim Petrópolis,17640.0,42.5,382.5,749699.89
04739-040,Jardim Santo Amaro,19038.87,39.0,514.0,742515.92
05712-070,Vila Andrade,9707.0,75.0,457.5,728025.09
04729-060,Granja Julieta,12893.55,56.0,486.5,722039.01
04560-012,Vila Olímpia,13424.08,53.0,509.0,711476.23
04602-000,Brooklin Velho,29271.83,24.0,298.0,702524.04
04703-004,Brooklin Novo,17751.95,39.0,327.0,692325.88
04748-000,Chácara Flora,21379.69,32.0,307.0,684149.93
05676-120,Cidade Jardim,26779.89,25.5,266.0,682887.14
04645-000,Chácara Flora,20641.26,33.0,438.5,681161.55
05724-003,Vila Andrade,21584.99,31.5,332.5,679927.07
04733-100,Santo Amaro,12790.18,53.0,488.0,677879.61
04725-020,Santo Amaro,11151.52,60.0,568.0,669091.5
04739-010,Santo Amaro,16267.55,40.0,493.0,650702.05
04570-000,Vila Olímpia,15119.03,43.0,472.0,650118.33
05734-150,Vila Andrade,13523.03,48.0,371.0,649105.38
04610-004,Brooklin Velho,15395.4,42.0,311.0,646606.77
04567-002,Brooklin Novo,17182.44,37.0,312.0,635750.22
04735-001,Santo Amaro,12278.1,51.0,512.0,626183.12
04747-901,Jardim Santo Amaro,14677.79,42.0,451.0,616467.02
04707-000,Brooklin Novo,21666.59,28.0,289.0,606664.6
05707-001,Vila Andrade,22341.67,27.0,278.0,603225.02
05734-100,Vila Andrade,9681.01,62.0,531.0,600222.85
05630-040,Vila Sônia,15414.46,38.5,292.0,593456.81
05640-002,Ferreira,15983.81,37.0,456.0,591401.12
04624-080,Brooklin Velho,17946.84,32.5,358.5,583272.31
04636-000,Brooklin Velho,12944.7,44.5,509.5,576039.28
05717-270,Vila Andrade,22152.43,26.0,289.0,575963.09
04560-001,Brooklin Novo,21301.28,27.0,343.5,575134.66
05693-000,Paraisópolis,23934.06,24.0,296.0,574417.44
04566-000,Brooklin Novo,17347.54,33.0,283.0,572468.81
04642-000,Jardim Santo Amaro,12285.07,46.0,404.0,565112.99
04738-000,Santo Amaro,15468.8,36.5,382.0,564611.18
05734-140,Vila Andrade,10070.09,55.0,404.0,553854.78
05842-070,Jardim São Luís,6166.18,89.0,752.0,548789.61
05726-100,Jardim Maria Duarte,9578.44,57.0,392.0,545970.97
04702-000,Brooklin Velho,22271.75,24.0,346.0,534521.99
05640-003,Paraisópolis,17242.5,31.0,303.0,534517.45
