CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,score_trafego_2025
04753-060,Santo Amaro,22636.36,131.0,671.0,2965363.15
04727-002,Santo Amaro,18074.72,117.0,644.0,2114742.48
04719-050,Granja Julieta,26215.79,73.5,558.5,1926860.68
04717-004,Chácara Santo Antônio,16986.64,108.0,680.0,1834557.42
04755-070,Santo Amaro,16676.21,92.0,554.0,1534211.63
05708-290,Vila Andrade,25081.82,54.0,462.5,1354418.5
04708-001,Jardim Petrópolis,17478.78,77.0,678.0,1345865.81
04567-110,Brooklin Novo,32052.22,39.5,250.5,1266062.7
04730-990,Granja Julieta,18504.49,64.5,434.0,1193539.72
04711-130,Brooklin Novo,28064.82,40.0,370.5,1122592.78
04710-190,Chácara Santo Antônio,18047.71,53.0,302.0,956528.45
05749-260,Vila Andrade,13511.27,69.5,582.5,939033.32
05727-160,Paraisópolis,15878.33,58.0,383.0,920943.02
04757-000,Santo Amaro,14798.74,62.0,511.0,917521.74
05726-130,Paraisópolis,19375.63,47.0,432.0,910654.76
04561-004,Vila Olímpia,22760.21,39.0,231.0,887648.21
05676-120,Cidade Jardim,26779.89,32.0,266.0,856956.41
06767-220,Parque Pinheiros,11138.03,70.0,646.0,779662.42
05615-001,Morumbi,19877.97,39.0,570.0,775240.67
05685-010,Morumbi,19816.97,39.0,482.0,772861.84
05707-400,Vila Andrade,33537.0,23.0,267.0,771350.9
05820-200,Jardim São Luís,11485.11,66.0,558.0,758017.4
04704-070,Brooklin Novo,17700.82,42.5,275.5,752284.84
04571-011,Brooklin Novo,22721.11,33.0,278.0,749796.76
05542-200,Jardim Jussara,13836.86,53.5,514.0,740271.99
05712-070,Vila Andrade,9707.0,75.0,457.5,728025.09
04729-060,Granja Julieta,12893.55,56.0,486.5,722039.01
05617-030,Morumbi,22187.0,32.0,299.0,709983.86
05724-003,Vila Andrade,21584.99,31.5,332.5,679927.07
05734-150,Vila Andrade,13601.75,49.5,378.0,673286.51
04570-000,Vila Olímpia,15119.03,43.0,472.0,650118.33
04582-000,Brooklin Novo,20095.65,32.0,257.0,643060.76
04564-002,Brooklin Novo,26296.14,24.0,173.0,631107.34
04707-000,Brooklin Novo,21666.59,28.0,289.0,606664.6
05707-001,Vila Andrade,22341.67,27.0,278.0,603225.02
05522-030,Vila Sônia,13667.69,44.0,453.0,601378.47
05630-040,Vila Sônia,15414.46,38.5,292.0,593456.81
05640-002,Ferreira,15983.81,37.0,456.0,591401.12
05717-270,Vila Andrade,22152.43,26.0,289.0,575963.09
05693-000,Paraisópolis,23934.06,24.0,296.0,574417.44
05734-140,Vila Andrade,10070.09,55.0,404.0,553854.78
05842-070,Jardim São Luís,6166.18,89.0,752.0,548789.61
05734-100,Paraisópolis,10085.62,53.5,469.5,539580.45
05640-003,Paraisópolis,17242.5,31.0,303.0,534517.45
05726-100,Jardim Maria Duarte,9083.08,57.0,392.0,517735.66
04710-000,Chácara Santo Antônio,25861.42,20.0,286.0,517228.4
05596-090,Butantã,9383.3,55.0,656.0,516081.55
04718-001,Chácara Santo Antônio,15269.41,33.0,359.0,503890.59
04566-001,Brooklin Novo,24935.71,20.0,159.0,498714.22
05590-030,Butantã,6141.59,81.0,905.0,497468.42
05615-900,Cidade Jardim,21489.04,23.0,264.0,494247.93
05547-110,Jardim Guaraú,5275.21,93.0,685.0,490594.38
05715-010,Vila Andrade,16624.85,29.5,354.5,490433.09
05684-000,Morumbi,19610.02,25.0,414.0,490250.43
05653-070,Vila Sônia,16832.85,29.0,327.0,488152.78
