CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,score_trafego_2025
05708-290,Vila Andrade,25081.82,54.0,462.5,1354418.5
05749-260,Vila Andrade,13511.27,69.5,582.5,939033.32
05727-160,Paraisópolis,15878.33,58.0,383.0,920943.02
05726-130,Paraisópolis,19375.63,47.0,432.0,910654.76
05707-400,Vila Andrade,33537.0,23.0,267.0,771350.9
05712-070,Vila Andrade,9707.0,75.0,457.5,728025.09
05724-003,Vila Andrade,21584.99,31.5,332.5,679927.07
05734-150,Vila Andrade,13601.75,49.5,378.0,673286.51
05707-001,Vila Andrade,22341.67,27.0,278.0,603225.02
05522-030,Vila Sônia,13667.69,44.0,453.0,601378.47
05630-040,Vila Sônia,15414.46,38.5,292.0,593456.81
05640-002,Ferreira,15983.81,37.0,456.0,591401.12
05717-270,Vila Andrade,22152.43,26.0,289.0,575963.09
05693-000,Paraisópolis,23934.06,24.0,296.0,574417.44
05734-140,Vila Andrade,10070.09,55.0,404.0,553854.78
05734-100,Paraisópolis,10085.62,53.5,469.5,539580.45
05640-003,Paraisópolis,17242.5,31.0,303.0,534517.45
05726-100,Jardim Maria Duarte,9083.08,57.0,392.0,517735.66
05715-010,Vila Andrade,16624.85,29.5,354.5,490433.09
05653-070,Vila Sônia,16832.85,29.0,327.0,488152.78
05727-250,Paraisópolis,12284.19,35.5,331.5,436088.85
05705-170,Vila Andrade,19949.83,21.0,293.0,418946.43
05577-200,Vila Sônia,9261.29,43.0,401.0,398235.33
05716-150,Vila Andrade,17273.16,23.0,311.0,397282.76
05755-080,Jardim Maria Duarte,6216.78,60.0,408.0,373006.56
05642-000,Paraisópolis,17148.6,21.5,286.5,368694.96
05707-000,Vila Andrade,18421.83,20.0,334.0,368436.68
05718-300,Vila Andrade,10759.45,32.5,269.5,349682.27
05594-160,Vila Sônia,7938.28,43.0,333.0,341346.06
05630-090,Ferreira,13080.4,26.0,395.0,340090.35
05712-040,Vila Andrade,6512.38,49.5,406.5,322362.57
05724-005,Vila Andrade,9001.74,34.0,381.5,306058.99
05752-590,Jardim Maria Duarte,6071.26,50.0,371.0,303562.88
05641-000,Vila Andrade,14998.37,20.0,281.0,299967.36
05662-020,Vila Sônia,13353.61,22.0,260.5,293779.49
05784-120,Jardim Maria Duarte,4768.05,61.5,639.5,293234.95
05617-120,Vila Sônia,15161.74,19.0,338.0,288073.0
05724-002,Paraisópolis,11095.54,24.5,286.0,271840.64
05642-001,Vila Andrade,17964.04,15.0,238.0,269460.66
05541-100,Vila Sônia,9253.74,29.0,282.0,268358.59
05528-040,Vila Sônia,4056.29,66.0,501.0,267715.19
05618-080,Vila Sônia,11527.44,23.0,362.0,265131.19
05725-050,Vila Andrade,13210.12,20.0,193.0,264202.32
05657-140,Paraisópolis,21804.09,12.0,202.5,261649.08
05594-010,Vila Sônia,7913.25,33.0,314.0,261137.3
05640-000,Vila Andrade,17366.25,15.0,244.0,260493.68
05665-010,Paraisópolis,2176.25,116.0,759.0,252444.45
05541-030,Vila Sônia,9585.04,26.0,388.0,249211.16
05641-010,Paraisópolis,15855.23,15.5,181.5,245756.12
05618-000,Vila Sônia,11593.36,21.0,362.0,243460.53
05787-000,Jardim Maria Duarte,6845.44,34.0,294.0,232745.04
05625-170,Vila Sônia,4068.86,57.0,393.0,231924.85
05629-900,Vila Sônia,7556.43,30.5,362.0,230470.99
05661-050,Paraisópolis,1917.57,117.0,705.0,224355.18
05663-020,Paraisópolis,1972.01,108.0,637.5,212977.33
05641-060,Paraisópolis,15839.21,13.0,207.5,205909.78
05690-050,Vila Andrade,17766.07,11.5,209.0,204309.82
05639-100,Ferreira,10197.11,20.0,341.0,203942.28
05537-000,Vila Sônia,7272.4,27.0,309.0,196354.79
05541-000,Vila Sônia,8434.38,23.0,309.0,193990.65
05659-000,Vila Sônia,2041.37,95.0,701.0,193930.16
05659-020,Paraisópolis,2063.63,93.0,597.0,191917.31
05640-001,Ferreira,9109.07,21.0,342.0,191290.45
05741-170,Ferreira,7204.12,26.0,353.0,187307.02
05749-300,Vila Andrade,2864.94,64.0,471.0,183356.34
05757-200,Jardim Maria Duarte,3423.0,52.5,509.0,179707.42
05634-020,Ferreira,7308.09,24.5,339.5,179048.19
05513-400,Vila Sônia,7096.29,25.0,340.0,177407.28
05785-180,Jardim Maria Duarte,3336.43,53.0,400.0,176830.55
05521-100,Vila Sônia,5865.73,30.0,428.0,175971.76
