id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,unidade,CEP,Logradouro,Bairro,Cidade,UF,renda_sm,cluster
431830,2022,-23.6286631085083,-46.6709261447726,5,kilometer,371.0,1214763.0,13.0,14.0,17.0,11.0,55.0,chacara,04624-050,R Dr Silvino Canuto Abreu,Vila Congonhas,São Paulo,SP,8.802630434782609,1
431831,2022,-23.6248107803694,-46.6693273077088,5,kilometer,344.0,1275984.0,16.0,12.0,11.0,10.0,49.0,chacara,04617-005,R  Vieira De Morais,Campo Belo,São Paulo,SP,9.246260869565218,1
431832,2022,-23.6305486217263,-46.6671571740212,5,kilometer,372.0,615053.0,15.0,10.0,11.0,11.0,47.0,chacara,04631-010,R  Tapes,Jardim Aeroporto,São Paulo,SP,4.456905797101449,2
431835,2022,-23.63586372626,-46.671313706326494,5,kilometer,362.0,775202.0,16.0,17.0,11.0,15.0,59.0,chacara,04623-011,R  Emboabas,Brooklin Paulista,São Paulo,SP,5.6174057971014495,2
431836,2022,-23.6338799406542,-46.6699501798723,5,kilometer,407.0,173935.0,29.0,31.0,37.0,43.0,140.0,chacara,04623-010,R  Emboabas,Brooklin Paulista,São Paulo,SP,1.2603985507246376,2
431837,2022,-23.6329710139831,-46.67335644153,5,kilometer,453.0,722012.0,14.0,32.0,32.0,30.0,108.0,chacara,04622-011,R  Tibirica,Brooklin Paulista,São Paulo,SP,5.231971014492753,2
431838,2022,-23.6310488571326,-46.6754549397326,5,kilometer,306.0,1364302.0,13.0,15.0,17.0,13.0,58.0,chacara,04619-030,R  Vicente Leporace,Campo Belo,São Paulo,SP,9.886246376811595,1
431839,2022,-23.6247084388718,-46.671746000399,5,kilometer,400.0,152289.0,14.0,12.0,14.0,17.0,57.0,chacara,04611-002,R  Republica Do Iraque,Campo Belo,São Paulo,SP,11.035434782608695,2
431840,2022,-23.6222939311765,-46.67073837497591,5,kilometer,452.0,1621893.0,20.0,25.0,21.0,20.0,86.0,chacara,04610-003,R  Zacarias De Gois,Parque Colonial,São Paulo,SP,11.752847826086956,1
431849,2022,-23.6370672899706,-46.6685333225539,5,kilometer,373.0,627821.0,15.0,11.0,19.0,13.0,58.0,chacara,04635-080,R Dr Abelardo Vergueiro Cesar,Vila Alexandria,São Paulo,SP,4.549427536231884,2
431850,2022,-23.6401850877585,-46.671742261988,5,kilometer,448.0,809096.0,11.0,14.0,17.0,20.0,62.0,chacara,04634-020,R  Lacedemonia,Jardim Brasil (Zona Sul),São Paulo,SP,5.863014492753623,1
431851,2022,-23.641397568319,-46.6717715278976,5,kilometer,543.0,970823.0,22.0,23.0,15.0,21.0,81.0,chacara,04635-070,Av  Doria,Vila Alexandria,São Paulo,SP,7.034949275362319,1
431852,2022,-23.637648390061,-46.6733191650379,5,kilometer,257.0,84412.0,7.0,9.0,15.0,14.0,45.0,chacara,04623-010,R  Emboabas,Brooklin Paulista,São Paulo,SP,6.116811594202899,2
431853,2022,-23.6286974331208,-46.6826804766539,5,kilometer,438.0,1104853.0,14.0,34.0,31.0,22.0,101.0,chacara,04637-000,R Prof Henrique Neves Lefevre,Jardim Petrópolis,São Paulo,SP,8.00618115942029,1
431854,2022,-23.6267290377156,-46.6805282934965,5,kilometer,406.0,1269513.0,21.0,23.0,20.0,22.0,86.0,chacara,04621-003,R  Joaquim Nabuco,Brooklin Paulista,São Paulo,SP,9.19936956521739,1
431855,2022,-23.6221708668732,-46.6743405991409,5,kilometer,312.0,166775.0,19.0,20.0,14.0,18.0,71.0,chacara,04618-003,R  Joao De Sousa Dias,Campo Belo,São Paulo,SP,12.085144927536232,2
431920,2022,-23.6220638062031,-46.672737296581694,5,kilometer,237.0,857982.0,3.0,9.0,8.0,12.0,32.0,chacara,04617-002,R  Vieira De Morais,Campo Belo,São Paulo,SP,6.217260869565218,2
431921,2022,-23.6209451213855,-46.6716632564646,5,kilometer,435.0,1004333.0,16.0,12.0,12.0,11.0,51.0,chacara,04616-003,R  Pascal,Campo Belo,São Paulo,SP,7.277775362318841,1
431922,2022,-23.6193018324363,-46.671565969199904,5,kilometer,296.0,1474406.0,11.0,10.0,12.0,18.0,51.0,chacara,04615-002,R Dr Jesuino Maciel,Campo Belo,São Paulo,SP,10.684101449275362,1
431928,2022,-23.6400059634019,-46.6680669370851,5,kilometer,323.0,724645.0,9.0,12.0,8.0,16.0,45.0,chacara,04635-010,R  Albuquerque Sousa Muniz,Vila Alexandria,São Paulo,SP,5.251050724637681,2
431929,2022,-23.641537724343,-46.6737025805389,5,kilometer,317.0,636598.0,6.0,20.0,13.0,6.0,45.0,chacara,04623-150,R Prof Joao Batista De Castro,Brooklin Paulista,São Paulo,SP,4.613028985507246,2
431930,2022,-23.631663653891,-46.6816551394705,5,kilometer,303.0,523464.0,13.0,13.0,12.0,15.0,53.0,chacara,04637-050,R Do Radium,Jardim Petrópolis,São Paulo,SP,3.793217391304348,2
431931,2022,-23.6263967135344,-46.6853787282007,5,kilometer,301.0,2293393.0,7.0,15.0,15.0,20.0,57.0,chacara,04602-922,R Br Do Triunfo,Brooklin Paulista,São Paulo,SP,16.618789855072464,3
431932,2022,-23.6227388366205,-46.6841170350916,5,kilometer,216.0,4013619.0,11.0,8.0,5.0,8.0,32.0,chacara,04555-020,R Comen Laurentino Goncalves,Brooklin Paulista,São Paulo,SP,29.084195652173914,3
431933,2022,-23.6230928123882,-46.6813383023315,5,kilometer,354.0,1084362.0,13.0,11.0,19.0,6.0,49.0,chacara,04603-001,Av Ver Jose Diniz,Santo Amaro,São Paulo,SP,7.857695652173914,1
