CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,score_trafego_2025
05635-050,Jardim Monte Kemel,24449.5,171.0,872.0,4180864.84
04719-905,Chácara Santo Antônio (Zona Sul),32647.68,114.0,762.0,3721835.57
05709-040,Vila Suzana,36272.95,83.0,438.5,3010654.7
04729-060,Jardim Caravelas,19448.42,146.0,644.0,2839469.51
04564-900,Cidade Monções,34184.38,75.0,375.0,2563828.86
04660-000,Jardim Marajoara,29669.06,80.5,633.5,2388359.53
04583-909,Vila Cordeiro,28934.1,80.0,615.0,2314728.11
04726-160,Vila Cruzeiro,24868.26,90.0,562.0,2238143.29
05679-050,Jardim Panorama D'Oeste,35331.8,62.0,529.0,2190571.38
05634-001,Jardim Monte Kemel,22594.04,95.5,641.0,2157730.89
05726-140,Vila Andrade,19572.23,109.0,612.0,2133372.61
04730-000,Várzea de Baixo,18074.72,117.0,705.0,2114742.48
04566-905,Cidade Monções,34482.87,60.0,372.0,2068972.29
05707-400,Parque do Morumbi,21891.88,94.0,632.0,2057836.87
04709-901,Santo Amaro,25861.42,79.0,505.0,2043052.2
04728-020,Jardim Caravelas,21963.6,92.0,541.0,2020650.79
04661-000,Jardim Umuarama,23449.16,83.0,664.0,1946279.99
04662-902,Santo Amaro,28198.32,67.5,633.5,1903386.61
04696-270,Jurubatuba,15379.11,121.0,654.0,1860872.76
04716-003,Chácara Santo Antônio (Zona Sul),16986.64,108.0,680.0,1834557.42
04747-140,Santo Amaro,38211.82,48.0,367.0,1834167.54
04757-050,Jardim Dom Bosco,16799.86,105.0,591.0,1763985.5
05717-250,Vila Andrade,24980.56,70.0,436.0,1748639.16
04610-020,Parque Colonial,32200.09,54.0,324.0,1738805.12
04710-090,Santo Amaro,20561.47,84.5,531.0,1737443.87
05724-005,Vila Andrade,17073.24,98.5,619.5,1681714.6
04710-160,Santo Amaro,29834.82,56.0,302.0,1670749.73
04580-000,Vila Cordeiro,23425.69,70.0,463.0,1639798.08
04570-030,Brooklin Paulista,26813.34,61.0,314.0,1635613.53
04608-001,Campo Belo,31284.61,52.0,386.5,1626799.57
04696-000,Jurubatuba,20299.51,79.0,660.0,1603660.99
04562-080,Brooklin Paulista,45750.94,35.0,278.0,1601282.76
04640-020,Jardim Cordeiro,25563.11,60.0,470.0,1533786.41
05705-170,Paraíso do Morumbi,27374.63,56.0,293.0,1532979.39
04671-906,Vila Sofia,25100.48,61.0,718.0,1531129.47
05672-015,Cidade Jardim,45074.36,33.0,285.0,1487453.88
04648-070,Vila Nova Caledônia,15493.37,96.0,871.0,1487363.17
04738-010,Santo Amaro,21846.65,68.0,544.0,1485572.32
04569-901,Cidade Monções,30934.0,47.5,441.0,1469364.78
04724-003,Santo Amaro,23662.02,62.0,422.0,1467045.43
04619-002,Campo Belo,33842.9,43.0,282.0,1455244.59
04757-020,Jardim Dom Bosco,17515.57,83.0,535.0,1453792.25
04719-080,Chácara Santo Antônio (Zona Sul),25325.3,57.0,325.0,1443542.32
04740-900,Santo Amaro,30037.05,46.0,400.0,1381704.09
04727-002,Vila Cruzeiro,17706.77,77.0,437.0,1363421.57
04708-010,Santo Amaro,17478.78,77.0,678.0,1345865.81
04640-054,Jardim Cordeiro,24448.99,55.0,530.0,1344694.66
05676-120,Cidade Jardim,41821.41,32.0,266.0,1338285.01
04562-030,Brooklin Paulista,42601.42,31.0,184.0,1320644.15
05727-230,Vila Andrade,18435.43,71.0,519.0,1308915.84
04624-000,Vila Congonhas,22908.18,56.0,291.5,1282858.27
04567-002,Cidade Monções,22250.36,57.5,369.5,1279395.97
04614-001,Campo Belo,27694.89,46.0,348.0,1273964.95
04619-003,Campo Belo,24164.42,51.0,402.0,1232385.67
05705-270,Paraíso do Morumbi,18056.87,68.0,431.5,1227866.87
04674-902,Jardim Itapeva,15668.51,78.0,765.0,1222143.82
04560-000,Brooklin Paulista,19845.82,61.0,311.0,1210595.15
05630-050,Vila Suzana,17109.99,69.0,486.0,1180588.98
05704-150,Jardim Fonte do Morumbi,44262.43,26.0,299.0,1150823.17
04742-000,Santo Amaro,13013.71,88.0,586.0,1145206.34
05717-180,Vila Andrade,36600.09,31.0,285.0,1134602.8
04707-000,Jardim das Acácias,18995.53,59.5,394.5,1130234.29
04609-001,Campo Belo,14948.95,75.5,570.0,1128645.83
04645-060,Chácara Monte Alegre,21022.64,53.0,596.0,1114199.93
04571-900,Cidade Monções,27113.11,41.0,372.0,1111637.32
05712-070,Jardim Parque Morumbi,10449.91,106.0,733.0,1107690.32
05726-130,Vila Andrade,11951.8,92.0,600.0,1099565.73
04560-021,Brooklin Paulista,23866.27,46.0,501.0,1097848.57
05716-120,Vila Andrade,37394.75,29.0,321.0,1084447.85
04754-010,Santo Amaro,13463.1,80.5,535.0,1083779.68
05704-140,Jardim Fonte do Morumbi,25344.6,42.0,321.5,1064473.36
05727-160,Vila Andrade,17974.13,58.0,381.0,1042499.72
04563-908,Cidade Monções,21503.02,48.0,317.0,1032144.78
