CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,distancia_mediana_km,pontos,score_trafego_2025
05726-130,Vila Andrade,11951.8,92.0,600.0,3.06,5,1099565.73
05706-290,Paraíso do Morumbi,25705.64,27.0,296.0,1.26,6,694052.27
05641-030,Vila Suzana,21049.4,27.0,342.0,3.04,7,568333.84
04566-000,Cidade Monções,17093.82,33.0,308.0,3.51,5,564095.9
05711-001,Jardim Caboré,12730.75,44.0,367.0,3.81,6,560153.03
05734-080,Vila Andrade,9578.44,56.0,390.0,3.48,5,536392.53
05641-010,Vila Suzana,21478.15,24.0,292.0,2.82,5,515475.58
04363-001,Vila Mascote,19790.19,25.0,236.0,4.52,5,494754.65
04601-000,Brooklin Paulista,17583.51,28.0,270.0,3.12,5,492338.34
05717-270,Vila Andrade,15458.43,31.0,357.0,2.29,5,479211.26
05707-000,Parque do Morumbi,21933.32,20.0,188.0,1.77,5,438666.46
05727-240,Vila Andrade,12706.02,34.0,237.0,2.75,5,432004.56
05713-520,Jardim Ampliação,15629.63,27.5,334.5,1.8,6,429814.76
05734-140,Parque Reboucas,9957.36,42.5,395.0,3.28,6,423188.0
04562-000,Brooklin Paulista,20903.71,20.0,318.0,3.95,5,418074.2
05734-150,Vila Andrade,13601.75,25.5,297.0,2.65,6,346844.57
05665-010,Vila Suzana,3058.17,107.0,756.0,2.47,5,327224.66
05729-090,Vila Andrade,10568.17,29.0,265.0,2.56,5,306476.91
05724-902,Vila Andrade,9531.41,32.0,377.0,2.23,5,305005.01
05661-020,Fazenda Morumbi,7467.54,38.0,441.0,3.15,7,283766.41
05820-230,Jardim Novo Santo Amaro,2878.85,83.0,557.0,4.12,5,238944.47
05663-010,Paraisópolis,2132.42,110.0,758.5,2.32,8,234566.06
05728-050,Vila Andrade,3787.58,61.5,414.5,3.07,6,232936.17
05663-000,Paraisópolis,1854.85,117.0,894.0,2.54,5,217017.35
04674-225,Jardim Taquaral,9389.49,22.0,332.0,4.18,5,206568.82
05661-040,Paraisópolis,2158.67,94.0,699.0,3.22,9,202915.16
05660-000,Paraisópolis,1875.14,106.0,638.0,2.35,13,198765.1
05663-020,Paraisópolis,1968.78,93.0,538.0,2.54,7,183096.39
05729-080,Vila Andrade,1905.29,93.5,602.5,2.8,6,178144.97
05659-020,Paraisópolis,2085.76,74.0,507.0,2.35,9,154346.0
05686-050,Real Parque,2388.66,60.0,422.0,2.99,5,143319.33
05813-030,Jardim São Luís,2141.19,61.0,418.0,3.19,15,130612.3
05820-200,Jardim Novo Santo Amaro,2553.08,51.0,513.5,4.16,5,130207.15
05814-100,Jardim Ibirapuera,2152.1,58.0,349.0,3.38,5,124821.8
05802-140,Jardim São Luís,1891.13,57.0,384.5,3.2,7,107794.28
05750-130,Super Quadra Morumbi,2764.71,38.0,365.0,4.16,5,105059.05
05773-020,Parque Regina,2327.31,45.0,341.5,4.24,6,104728.85
05847-620,Jardim Brasília,1908.26,51.5,344.0,4.47,14,98275.5
04726-220,Vila Cruzeiro,11798.5,7.5,268.0,0.11,6,88488.74
05775-200,Parque Regina,2503.17,27.0,332.5,4.08,5,67585.54
05663-030,Paraisópolis,2226.7,19.0,237.0,2.92,5,42307.33
