CEP,Bairro,renda_mediana_2025,mediana_criancas_0_18,populacao_mediana,distancia_mediana_km,mediana_0_4,mediana_5_9,mediana_10_14,mediana_15_19,pontos,score_trafego_2025
04726-220,Vila Cruzeiro,11798.5,17.0,268.0,0.11,5.0,29.5,7.0,23.0,6,200574.47
05706-290,Paraíso do Morumbi,25705.64,63.0,296.0,1.26,12.5,16.5,25.0,18.0,6,1619455.29
05707-000,Parque do Morumbi,21933.32,43.0,188.0,1.77,9.5,12.0,7.0,14.0,5,943132.89
05713-520,Jardim Ampliação,15629.63,52.0,334.5,1.8,12.5,14.5,16.5,15.0,6,812740.63
05724-902,Vila Andrade,9531.41,61.0,377.0,2.23,12.0,15.0,10.0,15.0,5,581415.8
05717-270,Vila Andrade,15458.43,63.0,357.0,2.29,14.0,16.0,13.0,19.0,5,973880.94
05663-010,Paraisópolis,2132.42,233.0,758.5,2.32,53.0,57.0,62.0,66.0,8,496853.57
05660-000,Paraisópolis,1875.14,189.0,638.0,2.35,47.0,55.0,37.0,46.0,13,354401.93
05659-020,Paraisópolis,2085.76,168.0,507.0,2.35,36.0,43.0,45.0,36.0,9,350407.13
05665-010,Vila Suzana,3058.17,201.0,756.0,2.47,56.0,57.0,48.0,49.0,5,614693.04
05663-000,Paraisópolis,1854.85,269.0,894.0,2.54,58.0,59.0,66.0,86.0,5,498954.42
05663-020,Paraisópolis,1968.78,172.0,538.0,2.54,46.0,47.0,45.0,34.0,7,338629.88
