rank,CEP,Bairro,renda_mediana_2025,mediana_criancas_0_18,populacao_mediana,distancia_mediana_km,mediana_0_4,mediana_5_9,mediana_10_14,mediana_15_19,pontos,score_trafego_2025
1,05726-130,Vila Andrade,11951.8,159.0,600.0,3.06,46.0,43.0,40.0,23.0,5,1900336.42
2,05706-290,Paraíso do Morumbi,25705.64,63.0,296.0,1.26,12.5,16.5,25.0,18.0,6,1619455.29
3,05641-030,Vila Suzana,21049.4,65.0,342.0,3.04,16.0,13.0,19.0,13.0,7,1368211.09
4,05641-010,Vila Suzana,21478.15,59.0,292.0,2.82,8.0,13.0,14.0,10.0,5,1267210.79
5,04566-000,Cidade Monções,17093.82,72.0,308.0,3.51,22.0,20.0,10.0,7.5,5,1230754.69
6,04601-000,Brooklin Paulista,17583.51,66.0,270.0,3.12,13.0,16.0,19.0,18.0,5,1160511.8
7,04562-000,Brooklin Paulista,20903.71,51.0,318.0,3.95,15.5,14.0,9.5,13.5,5,1066089.2
8,04363-001,Vila Mascote,19790.19,51.0,236.0,4.52,13.5,13.0,16.0,14.0,5,1009299.48
9,05711-001,Jardim Caboré,12730.75,79.0,367.0,3.81,24.0,28.0,16.5,18.5,6,1005729.31
10,05717-270,Vila Andrade,15458.43,63.0,357.0,2.29,14.0,16.0,13.0,19.0,5,973880.94
11,05707-000,Parque do Morumbi,21933.32,43.0,188.0,1.77,9.5,12.0,7.0,14.0,5,943132.89
12,05734-080,Vila Andrade,9578.44,87.0,390.0,3.48,30.0,19.0,20.0,7.0,5,833324.11
13,05727-240,Vila Andrade,12706.02,65.0,237.0,2.75,18.0,16.0,14.5,13.0,5,825891.07
14,05713-520,Jardim Ampliação,15629.63,52.0,334.5,1.8,12.5,14.5,16.5,15.0,6,812740.63
15,05734-140,Parque Reboucas,9957.36,71.0,395.0,3.28,21.0,22.5,17.0,12.5,6,706972.9
16,05661-020,Fazenda Morumbi,7467.54,84.0,441.0,3.15,18.0,19.0,27.0,19.0,7,627273.11
17,05665-010,Vila Suzana,3058.17,201.0,756.0,2.47,56.0,57.0,48.0,49.0,5,614693.04
18,05734-150,Vila Andrade,13601.75,45.0,297.0,2.65,13.5,12.0,9.0,13.5,6,612078.65
19,05724-902,Vila Andrade,9531.41,61.0,377.0,2.23,12.0,15.0,10.0,15.0,5,581415.8
20,05729-090,Vila Andrade,10568.17,52.0,265.0,2.56,15.0,14.0,11.0,11.0,5,549544.8
21,05663-000,Paraisópolis,1854.85,269.0,894.0,2.54,58.0,59.0,66.0,86.0,5,498954.42
22,05663-010,Paraisópolis,2132.42,233.0,758.5,2.32,53.0,57.0,62.0,66.0,8,496853.57
23,05820-230,Jardim Novo Santo Amaro,2878.85,170.0,557.0,4.12,42.0,41.0,41.0,46.0,5,489404.34
24,04674-225,Jardim Taquaral,9389.49,49.0,332.0,4.18,13.5,11.0,14.0,19.5,5,460085.09
25,05661-040,Paraisópolis,2158.67,194.0,699.0,3.22,41.0,56.5,43.0,55.0,9,418782.35
26,05728-050,Vila Andrade,3787.58,102.5,414.5,3.07,34.0,25.0,24.5,18.0,6,388226.94
27,05729-080,Vila Andrade,1905.29,200.0,602.5,2.8,44.5,50.0,45.5,61.0,6,381058.75
28,05660-000,Paraisópolis,1875.14,189.0,638.0,2.35,47.0,55.0,37.0,46.0,13,354401.93
29,05659-020,Paraisópolis,2085.76,168.0,507.0,2.35,36.0,43.0,45.0,36.0,9,350407.13
30,05663-020,Paraisópolis,1968.78,172.0,538.0,2.54,46.0,47.0,45.0,34.0,7,338629.88
31,05686-050,Real Parque,2388.66,141.0,422.0,2.99,27.0,33.0,36.0,37.0,5,336800.43
32,05820-200,Jardim Novo Santo Amaro,2553.08,120.0,513.5,4.16,49.0,48.0,48.0,45.5,5,306369.76
33,05750-130,Super Quadra Morumbi,2764.71,99.0,365.0,4.16,18.0,23.0,35.0,26.0,5,273706.48
34,05814-100,Jardim Ibirapuera,2152.1,122.0,349.0,3.38,27.5,31.0,26.0,37.0,5,262556.19
35,05813-030,Jardim São Luís,2141.19,122.0,418.0,3.19,28.0,28.0,23.0,30.0,15,261224.59
36,05802-140,Jardim São Luís,1891.13,121.0,384.5,3.2,30.0,32.5,36.0,35.0,7,228826.45
37,05773-020,Parque Regina,2327.31,87.0,341.5,4.24,21.5,19.5,20.5,28.0,6,202475.77
38,04726-220,Vila Cruzeiro,11798.5,17.0,268.0,0.11,5.0,29.5,7.0,23.0,6,200574.47
39,05847-620,Jardim Brasília,1908.26,102.0,344.0,4.47,22.0,26.5,25.0,27.5,14,194642.74
40,05775-200,Parque Regina,2503.17,68.0,332.5,4.08,15.0,22.5,19.0,25.0,5,170215.42
41,05663-030,Paraisópolis,2226.7,44.0,237.0,2.92,8.0,11.0,16.0,40.0,5,97974.86
