rank,CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,distancia_mediana_km,pontos,score_trafego_2025
1,05726-130,Vila Andrade,11951.8,92.0,600.0,3.06,5,1099565.73
2,05706-290,Paraíso do Morumbi,25705.64,27.0,296.0,1.26,6,694052.27
3,05641-030,Vila Suzana,21049.4,27.0,342.0,3.04,7,568333.84
4,04566-000,Cidade Monções,17093.82,33.0,308.0,3.51,5,564095.9
5,05711-001,Jardim Caboré,12730.75,44.0,367.0,3.81,6,560153.03
6,05734-080,Vila Andrade,9578.44,56.0,390.0,3.48,5,536392.53
7,05641-010,Vila Suzana,21478.15,24.0,292.0,2.82,5,515475.58
8,04363-001,Vila Mascote,19790.19,25.0,236.0,4.52,5,494754.65
9,04601-000,Brooklin Paulista,17583.51,28.0,270.0,3.12,5,492338.34
10,05717-270,Vila Andrade,15458.43,31.0,357.0,2.29,5,479211.26
11,05707-000,Parque do Morumbi,21933.32,20.0,188.0,1.77,5,438666.46
12,05727-240,Vila Andrade,12706.02,34.0,237.0,2.75,5,432004.56
13,05713-520,Jardim Ampliação,15629.63,27.5,334.5,1.8,6,429814.76
14,05734-140,Parque Reboucas,9957.36,42.5,395.0,3.28,6,423188.0
15,04562-000,Brooklin Paulista,20903.71,20.0,318.0,3.95,5,418074.2
16,05734-150,Vila Andrade,13601.75,25.5,297.0,2.65,6,346844.57
17,05665-010,Vila Suzana,3058.17,107.0,756.0,2.47,5,327224.66
18,05729-090,Vila Andrade,10568.17,29.0,265.0,2.56,5,306476.91
19,05724-902,Vila Andrade,9531.41,32.0,377.0,2.23,5,305005.01
20,05661-020,Fazenda Morumbi,7467.54,38.0,441.0,3.15,7,283766.41
