CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,distancia_mediana_km,pontos,score_trafego_2025
04726-220,Vila Cruzeiro,11798.5,7.5,268.0,0.11,6,88488.74
05706-290,Paraíso do Morumbi,25705.64,27.0,296.0,1.26,6,694052.27
05707-000,Parque do Morumbi,21933.32,20.0,188.0,1.77,5,438666.46
05713-520,Jardim Ampliação,15629.63,27.5,334.5,1.8,6,429814.76
05724-902,Vila Andrade,9531.41,32.0,377.0,2.23,5,305005.01
05717-270,Vila Andrade,15458.43,31.0,357.0,2.29,5,479211.26
05663-010,Paraisópolis,2132.42,110.0,758.5,2.32,8,234566.06
05660-000,Paraisópolis,1875.14,106.0,638.0,2.35,13,198765.1
05659-020,Paraisópolis,2085.76,74.0,507.0,2.35,9,154346.0
05665-010,Vila Suzana,3058.17,107.0,756.0,2.47,5,327224.66
05663-000,Paraisópolis,1854.85,117.0,894.0,2.54,5,217017.35
05663-020,Paraisópolis,1968.78,93.0,538.0,2.54,7,183096.39
