CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,distancia_mediana_km,pontos,score_trafego_2025
05635-050,Jardim Monte Kemel,24449.5,171.0,872.0,1.2,1,4180864.84
04719-905,Chácara Santo Antônio (Zona Sul),32647.68,114.0,762.0,3.76,1,3721835.57
05709-040,Vila Suzana,36272.95,83.0,438.5,0.6,2,3010654.7
04729-060,Jardim Caravelas,19448.42,146.0,644.0,3.12,1,2839469.51
04583-909,Vila Cordeiro,28934.1,80.0,615.0,4.06,1,2314728.11
04726-160,Vila Cruzeiro,24868.26,90.0,562.0,3.34,3,2238143.29
05679-050,Jardim Panorama D'Oeste,35331.8,62.0,529.0,4.23,1,2190571.38
05634-001,Jardim Monte Kemel,22594.04,95.5,641.0,1.02,4,2157730.89
05726-140,Vila Andrade,19572.23,109.0,612.0,1.41,1,2133372.61
04567-002,Cidade Monções,27318.29,78.0,427.0,4.78,1,2130826.7
04730-000,Várzea de Baixo,18074.72,117.0,705.0,3.37,1,2114742.48
05707-400,Parque do Morumbi,21891.88,94.0,632.0,2.39,1,2057836.87
04709-901,Santo Amaro,25861.42,79.0,505.0,4.73,1,2043052.2
04728-020,Jardim Caravelas,21963.6,92.0,541.0,3.59,1,2020650.79
04716-003,Chácara Santo Antônio (Zona Sul),16986.64,108.0,680.0,3.27,1,1834557.42
04757-050,Jardim Dom Bosco,16799.86,105.0,591.0,4.42,2,1763985.5
05717-250,Vila Andrade,24980.56,70.0,436.0,1.89,2,1748639.16
04710-090,Santo Amaro,20561.47,84.5,531.0,4.38,2,1737443.87
05724-005,Vila Andrade,17073.24,98.5,619.5,2.65,2,1681714.6
04710-160,Santo Amaro,29834.82,56.0,302.0,4.36,1,1670749.73
05577-000,Jardim Adhemar de Barros,17490.75,92.0,659.5,3.49,2,1609149.37
04562-080,Brooklin Paulista,45750.94,35.0,278.0,4.67,1,1601282.76
05705-170,Paraíso do Morumbi,27374.63,56.0,293.0,2.08,1,1532979.39
05613-030,Morumbi,41740.12,36.0,352.0,3.82,1,1502644.24
05672-015,Cidade Jardim,45074.36,33.0,285.0,4.59,1,1487453.88
04724-003,Santo Amaro,23662.02,62.0,422.0,3.51,1,1467045.43
04757-020,Jardim Dom Bosco,17515.57,83.0,535.0,4.38,2,1453792.25
04719-080,Chácara Santo Antônio (Zona Sul),25325.3,57.0,325.0,3.56,1,1443542.32
04727-002,Vila Cruzeiro,17706.77,77.0,437.0,3.29,1,1363421.57
05551-000,Jardim Raposo Tavares,24043.91,56.0,572.0,3.89,1,1346459.08
04708-010,Santo Amaro,17478.78,77.0,678.0,4.8,1,1345865.81
05676-120,Cidade Jardim,41821.41,32.0,266.0,4.48,1,1338285.01
04562-030,Brooklin Paulista,42601.42,31.0,184.0,4.57,1,1320644.15
05727-230,Vila Andrade,18435.43,71.0,519.0,1.36,2,1308915.84
05705-270,Paraíso do Morumbi,18056.87,68.0,431.5,1.95,2,1227866.87
05630-050,Vila Suzana,17109.99,69.0,486.0,0.64,3,1180588.98
05704-150,Jardim Fonte do Morumbi,44262.43,26.0,299.0,2.31,1,1150823.17
05717-180,Vila Andrade,36600.09,31.0,285.0,2.34,1,1134602.8
04707-000,Jardim das Acácias,18995.53,59.5,394.5,4.58,2,1130234.29
05712-070,Jardim Parque Morumbi,10449.91,106.0,733.0,0.88,3,1107690.32
05726-130,Vila Andrade,11951.8,92.0,600.0,1.0,5,1099565.73
05716-120,Vila Andrade,37394.75,29.0,321.0,1.88,1,1084447.85
04754-010,Santo Amaro,13463.1,80.5,535.0,4.63,2,1083779.68
05704-140,Jardim Fonte do Morumbi,25344.6,42.0,321.5,2.32,4,1064473.36
05727-160,Vila Andrade,17974.13,58.0,381.0,1.35,1,1042499.72
04563-908,Cidade Monções,21503.02,48.0,317.0,4.76,1,1032144.78
05842-070,Vila das Belezas,8078.4,126.0,894.0,3.98,3,1017879.02
05630-030,Vila Suzana,15202.99,66.0,481.0,0.87,1,1003397.19
05545-150,Jardim Lúcia,15290.81,65.0,452.0,4.39,1,993902.91
05633-090,Jardim Monte Kemel,14398.25,68.0,526.0,1.97,1,979081.21
04710-130,Santo Amaro,18047.71,53.0,433.0,4.42,1,956528.45
05541-170,Jardim das Vertentes,11808.2,81.0,560.0,2.96,1,956464.22
04561-004,Brooklin Paulista,24259.68,39.0,225.0,4.69,3,946127.43
05726-100,Vila Andrade,15216.25,62.0,531.0,1.25,3,943407.33
05684-010,Real Parque,21127.65,44.0,549.0,3.68,1,929616.72
05731-370,Vila Plana,4484.89,206.0,1691.0,2.64,1,923886.95
05707-001,Jardim Morumbi,27905.93,33.0,360.5,2.3,4,920895.75
05763-500,Jardim Piracuama,11058.71,82.0,772.0,3.51,1,906814.15
