CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,score_trafego_2025
05520-200,Vila Sônia,,59.0,553.0,
05520-400,Vila Sônia,,31.5,365.5,
05521-100,Vila Sônia,,10.0,119.0,
05521-200,Vila Sônia,,48.0,385.5,
05522-030,Ferreira,,20.0,272.0,
05523-010,Ferreira,,18.0,215.0,
05523-050,Ferreira,,42.0,466.0,
05524-000,Ferreira,,10.0,148.0,
05524-020,Ferreira,,35.0,502.0,
05524-080,Ferreira,,22.0,282.0,
05524-120,Ferreira,,17.0,246.0,
05524-160,Ferreira,,22.0,483.5,
05622-001,Vila Sônia,,35.0,356.5,
05622-010,Vila Sônia,,28.0,312.0,
05622-040,Vila Sônia,,13.0,232.0,
05625-001,Vila Sônia,,46.0,429.0,
05625-020,Vila Sônia,,8.0,166.0,
05625-030,Vila Sônia,,17.0,247.0,
05625-060,Vila Sônia,,13.5,252.0,
05625-070,Vila Sônia,,12.0,227.0,
05625-150,Vila Sônia,,46.0,511.0,
05625-160,Vila Sônia,,35.0,396.0,
05625-900,Vila Sônia,,35.0,486.0,
05626-001,Vila Sônia,,27.0,351.5,
05626-020,Vila Sônia,,12.0,249.0,
05626-100,Vila Sônia,,24.0,218.0,
05627-020,Vila Sônia,,25.0,375.0,
05628-040,Vila Sônia,,18.0,260.0,
05632-090,Vila Sônia,,14.0,207.0,
05642-010,Vila Andrade,,20.0,221.0,
05642-904,Vila Andrade,,16.0,140.0,
05659-000,Paraisópolis,,30.0,457.0,
05659-020,Paraisópolis,,74.0,507.0,
05659-900,Paraisópolis,,0.0,45.0,
05660-000,Paraisópolis,,106.0,638.0,
05661-040,Paraisópolis,,94.0,699.0,
05661-050,Paraisópolis,,142.0,786.5,
05661-060,Paraisópolis,,161.0,1188.0,
05661-070,Paraisópolis,,245.0,1406.0,
05662-020,Paraisópolis,,189.5,1106.0,
05662-030,Paraisópolis,,133.0,827.0,
05662-060,Paraisópolis,,76.0,430.5,
05662-070,Paraisópolis,,119.0,689.0,
05663-000,Paraisópolis,,117.0,894.0,
05663-010,Paraisópolis,,110.0,758.5,
05663-020,Paraisópolis,,93.0,538.0,
05663-030,Paraisópolis,,19.0,237.0,
05664-000,Paraisópolis,,145.5,783.5,
05664-010,Paraisópolis,,134.5,825.5,
05664-015,Paraisópolis,,86.0,600.0,
05665-000,Paraisópolis,,96.5,576.5,
05665-020,Paraisópolis,,154.5,857.0,
05665-030,Paraisópolis,,134.0,779.0,
05665-040,Paraisópolis,,99.0,547.0,
05665-050,Paraisópolis,,144.0,785.0,
05665-060,Paraisópolis,,126.0,788.0,
05665-080,Paraisópolis,,238.0,1295.0,
05665-120,Paraisópolis,,47.5,347.5,
05665-130,Paraisópolis,,96.0,548.0,
05715-010,Vila Andrade,,0.0,125.0,
05715-030,Vila Andrade,,20.5,273.0,
05715-040,Vila Andrade,,42.5,429.5,
05716-070,Vila Andrade,,23.0,311.0,
05716-080,Vila Andrade,,23.0,307.0,
05716-090,Vila Andrade,,36.0,579.0,
05716-110,Vila Andrade,,25.0,560.0,
05716-120,Vila Andrade,,29.0,321.0,
05717-170,Vila Andrade,,26.0,325.0,
05717-180,Vila Andrade,,31.0,285.0,
05717-190,Vila Andrade,,26.0,304.0,
05717-200,Vila Andrade,,35.0,424.5,
05717-210,Vila Andrade,,33.0,289.0,
05717-230,Vila Andrade,,23.5,279.0,
05717-250,Vila Andrade,,70.0,436.0,
05717-270,Vila Andrade,,31.0,357.0,
05718-300,Vila Andrade,,4.0,141.0,
05718-310,Vila Andrade,,41.0,463.0,
05724-001,Vila Andrade,,11.0,154.0,
05724-002,Vila Andrade,,16.0,196.5,
05724-003,Vila Andrade,,17.0,305.0,
05724-005,Vila Andrade,,98.5,619.5,
05724-020,Vila Andrade,,17.0,253.0,
05724-902,Vila Andrade,,32.0,377.0,
05725-030,Vila Andrade,,22.0,316.0,
05725-060,Vila Andrade,,0.0,120.0,
05726-100,Vila Andrade,,62.0,531.0,
05726-110,Vila Andrade,,47.0,432.0,
05726-130,Vila Andrade,,92.0,600.0,
05726-140,Vila Andrade,,109.0,612.0,
05727-160,Vila Andrade,,58.0,381.0,
05727-180,Vila Andrade,,49.0,383.0,
05727-190,Vila Andrade,,44.5,414.0,
05727-220,Vila Andrade,,13.0,149.0,
05727-230,Vila Andrade,,71.0,519.0,
05727-240,Vila Andrade,,34.0,237.0,
05727-250,Vila Andrade,,49.0,498.0,
05728-020,Vila Andrade,,48.0,371.0,
05728-030,Vila Andrade,,30.0,249.0,
05728-040,Vila Andrade,,49.5,382.0,
05728-050,Vila Andrade,,61.5,414.5,
05729-080,Vila Andrade,,93.5,602.5,
05729-090,Vila Andrade,,29.0,265.0,
05729-100,Vila Andrade,,49.0,246.0,
05729-120,Vila Andrade,,53.0,541.0,
05730-150,Vila Andrade,,35.0,403.0,
05730-160,Vila Andrade,,96.0,661.0,
05730-170,Vila Andrade,,42.0,328.0,
05734-040,Vila Andrade,,44.0,298.0,
05734-080,Vila Andrade,,56.0,390.0,
05734-100,Vila Andrade,,45.0,345.0,
05734-110,Vila Andrade,,66.5,557.5,
05734-150,Vila Andrade,,25.5,297.0,
05752-000,Jardim Maria Duarte,,20.0,324.0,
05752-001,Jardim Maria Duarte,,79.0,659.0,
05752-350,Jardim Maria Duarte,,64.0,561.0,
05752-400,Jardim Maria Duarte,,33.0,391.5,
05752-440,Jardim Maria Duarte,,64.0,624.0,
05752-520,Jardim Maria Duarte,,35.5,490.0,
05752-540,Jardim Maria Duarte,,52.5,497.5,
05752-570,Jardim Maria Duarte,,32.0,346.0,
05752-590,Jardim Maria Duarte,,50.0,367.0,
