CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,distancia_mediana_km,pontos,score_trafego_2025
05641-030,Vila Suzana,21049.4,27.0,342.0,0.25,7,568333.84
05641-010,Vila Suzana,21478.15,24.0,292.0,0.43,5,515475.58
05711-001,Jardim Caboré,12730.75,44.0,367.0,0.72,6,560153.03
05665-010,Vila Suzana,3058.17,107.0,756.0,0.81,5,327224.66
05663-030,Paraisópolis,2226.7,19.0,237.0,0.9,5,42307.33
05726-130,Vila Andrade,11951.8,92.0,600.0,1.0,5,1099565.73
05734-140,Parque Reboucas,9957.36,42.5,395.0,1.01,6,423188.0
05750-130,Super Quadra Morumbi,2764.71,38.0,365.0,1.02,5,105059.05
05727-240,Vila Andrade,12706.02,34.0,237.0,1.05,5,432004.56
05663-000,Paraisópolis,1854.85,117.0,894.0,1.17,5,217017.35
05660-000,Paraisópolis,1875.14,106.0,638.0,1.25,13,198765.1
05663-010,Paraisópolis,2132.42,110.0,758.5,1.34,8,234566.06
