rank,CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,distancia_mediana_km,pontos,score_trafego_2025
1,05726-130,Vila Andrade,11951.8,92.0,600.0,1.0,5,1099565.73
2,05706-290,Paraíso do Morumbi,25705.64,27.0,296.0,1.96,6,694052.27
3,05641-030,Vila Suzana,21049.4,27.0,342.0,0.25,7,568333.84
4,05711-001,Jardim Caboré,12730.75,44.0,367.0,0.72,6,560153.03
5,05734-080,Vila Andrade,9578.44,56.0,390.0,1.52,5,536392.53
6,05641-010,Vila Suzana,21478.15,24.0,292.0,0.43,5,515475.58
7,05717-270,Vila Andrade,15458.43,31.0,357.0,2.2,5,479211.26
8,05707-000,Parque do Morumbi,21933.32,20.0,188.0,2.58,5,438666.46
9,05727-240,Vila Andrade,12706.02,34.0,237.0,1.05,5,432004.56
10,05713-520,Jardim Ampliação,15629.63,27.5,334.5,1.49,6,429814.76
11,05734-140,Parque Reboucas,9957.36,42.5,395.0,1.01,6,423188.0
12,05734-150,Vila Andrade,13601.75,25.5,297.0,1.55,6,346844.57
13,05588-000,Jardim Esmeralda,10246.44,32.0,388.0,4.63,5,327886.2
14,05665-010,Vila Suzana,3058.17,107.0,756.0,0.81,5,327224.66
15,05529-020,Jardim Jaqueline,2020.83,160.5,907.0,3.08,6,324342.96
16,05785-070,Jardim São Mateus,5951.35,53.0,493.0,2.86,6,315421.31
17,05729-090,Vila Andrade,10568.17,29.0,265.0,1.93,5,306476.91
18,05724-902,Vila Andrade,9531.41,32.0,377.0,2.45,5,305005.01
19,05661-020,Fazenda Morumbi,7467.54,38.0,441.0,1.49,7,283766.41
20,05777-001,Vila Prel,5501.1,48.0,360.0,2.13,7,264052.96
