rank,CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,score_trafego_2025
1,05726-140,Vila Andrade,19572.23,109.0,612.0,2133372.61
2,05717-250,Vila Andrade,24980.56,70.0,436.0,1748639.16
3,05724-005,Vila Andrade,17073.24,98.5,619.5,1681714.6
4,05727-230,Vila Andrade,18435.43,71.0,519.0,1308915.84
5,05717-180,Vila Andrade,36600.09,31.0,285.0,1134602.8
6,05726-130,Vila Andrade,11951.8,92.0,600.0,1099565.73
7,05716-120,Vila Andrade,37394.75,29.0,321.0,1084447.85
8,05727-160,Vila Andrade,17974.13,58.0,381.0,1042499.72
9,05726-100,Vila Andrade,15216.25,62.0,531.0,943407.33
10,05727-250,Vila Andrade,18365.67,49.0,498.0,899917.66
11,05715-040,Vila Andrade,20764.61,42.5,429.5,882496.06
12,05728-040,Vila Andrade,16395.07,49.5,382.0,811556.21
13,05716-090,Vila Andrade,21763.97,36.0,579.0,783502.75
14,05727-180,Vila Andrade,15878.33,49.0,383.0,778038.06
15,05520-200,Vila Sônia,12939.04,59.0,553.0,763403.22
16,05727-190,Vila Andrade,16798.83,44.5,414.0,747547.85
17,05717-210,Vila Andrade,20488.5,33.0,289.0,676120.46
18,05662-060,Paraisópolis,8707.98,76.0,430.5,661806.78
19,05622-001,Vila Sônia,17490.25,35.0,356.5,612158.81
20,05726-110,Vila Andrade,12584.42,47.0,432.0,591467.65
21,05729-120,Vila Andrade,10743.24,53.0,541.0,569391.93
22,05734-080,Vila Andrade,9578.44,56.0,390.0,536392.53
23,05717-190,Vila Andrade,20588.33,26.0,304.0,535296.61
24,05718-310,Vila Andrade,12515.86,41.0,463.0,513150.15
25,05625-160,Vila Sônia,14502.94,35.0,396.0,507602.98
26,05625-001,Vila Sônia,10961.32,46.0,429.0,504220.7
27,05717-230,Vila Andrade,21088.42,23.5,279.0,495577.94
28,05717-170,Vila Andrade,18968.18,26.0,325.0,493172.78
29,05622-010,Vila Sônia,17585.7,28.0,312.0,492399.46
30,05717-270,Vila Andrade,15458.43,31.0,357.0,479211.26
31,05661-070,Paraisópolis,1951.44,245.0,1406.0,478101.83
32,05734-110,Vila Andrade,6801.11,66.5,557.5,452273.67
33,05734-040,Vila Andrade,10118.97,44.0,298.0,445234.53
34,05717-200,Vila Andrade,12447.97,35.0,424.5,435678.82
35,05734-100,Vila Andrade,9681.01,45.0,345.0,435645.61
36,05727-240,Vila Andrade,12706.02,34.0,237.0,432004.56
37,05716-080,Vila Andrade,18278.15,23.0,307.0,420397.5
38,05716-110,Vila Andrade,16619.6,25.0,560.0,415489.88
39,05716-070,Vila Andrade,17273.16,23.0,311.0,397282.76
40,05715-030,Vila Andrade,19209.9,20.5,273.0,393803.0
41,05665-080,Paraisópolis,1637.43,238.0,1295.0,389708.8
42,05625-900,Vila Sônia,10793.75,35.0,486.0,377781.33
43,05521-200,Vila Sônia,7636.68,48.0,385.5,366560.41
44,05730-170,Vila Andrade,8632.04,42.0,328.0,362545.79
45,05662-020,Paraisópolis,1906.56,189.5,1106.0,361293.93
46,05524-020,Ferreira,9950.09,35.0,502.0,348253.29
47,05734-150,Vila Andrade,13601.75,25.5,297.0,346844.57
48,05752-001,Jardim Maria Duarte,4099.49,79.0,659.0,323859.98
49,05665-050,Paraisópolis,2189.49,144.0,785.0,315286.17
50,05725-030,Vila Andrade,14189.86,22.0,316.0,312176.84
