Bairro,pontos,lat_mediana,lon_mediana,distancia_mediana_km,renda_mediana_2025,criancas_0_9_mediana,populacao_mediana,score_trafego_2025,cluster_predominante,cluster_share,rank_score_trafego,rank_proximidade,score_index_0_100
Jardim Panorama D'Oeste,2,-23.602548144696897,-46.701719446623855,3.6617013153488673,34061.648774999994,43.5,443.0,1481681.7217124999,3.0,1.0,1,58,100.0
Jardim Cordeiro,2,-23.636555473827798,-46.68130260755245,3.274371646305768,25006.050300000003,57.5,500.0,1437847.89225,0.0,0.5,2,43,96.97779423946811
Jardim Dom Bosco,7,-23.6512780509528,-46.7193279247634,2.031225555548209,15952.54815,66.0,518.0,1052868.1779,0.0,0.7142857142857143,3,17,70.4346442417736
Jardim Piracuama,1,-23.6424642200133,-46.7576765000942,4.627516330080095,11058.7092,82.0,772.0,906814.1544,1.0,1.0,4,135,60.36467507450778
Jardim Anhangüera,1,-23.6701796885727,-46.6954481259508,4.446353122206226,9896.9871,87.0,707.0,861037.8777000001,1.0,1.0,5,115,57.20854363824353
Jardim Tupã,1,-23.6709926968315,-46.7350821784525,4.706437318935209,19796.98875,40.0,471.0,791879.55,0.0,1.0,6,142,52.44029274785525
Jardim Viana,1,-23.6049773197206,-46.7155666855138,3.199905083997453,18002.9157,42.0,490.0,756122.4594,0.0,1.0,7,40,49.974952928900315
Vila Praia,4,-23.61951708268365,-46.7442035371925,3.5228408130586146,10621.501274999999,69.5,538.0,738194.3386124999,1.0,0.5,8,53,48.73886494425713
Jardim Fonte do Morumbi,10,-23.6288946069343,-46.719803487967454,0.8782246518999866,29437.33485,25.0,297.5,735933.37125,3.0,0.8,9,4,48.582978299829506
Jardim Vitória Régia,6,-23.6226698318481,-46.719179456705746,1.3847225628443072,19819.788450000004,35.5,368.0,703602.4899750001,0.0,1.0,10,9,46.353864922547025
Vila Nova Caledônia,3,-23.6496910481417,-46.6738598405031,4.3349115349465395,9743.591550000001,68.0,715.0,662564.2254000001,1.0,1.0,11,107,43.524404637611106
Vila Elvira,2,-23.642622969087903,-46.704737618223646,1.3252025826882894,12680.3061,46.5,456.5,589634.23365,0.0,1.0,12,8,38.49610928023294
Parque Bairro Morumbi,3,-23.6139178871518,-46.7391267136828,3.343729519898463,14839.84425,37.0,446.0,549074.23725,0.0,1.0,13,45,35.69962409355535
Vila Progredior,2,-23.59260695896365,-46.71735938639585,4.5872497046653,19472.607,27.5,381.5,535496.6925,0.0,1.0,14,132,34.76349475097909
Vila Isa,8,-23.6673403194612,-46.691557677648845,4.378185436583481,10170.681675,52.5,531.5,533960.7879375,0.0,0.375,15,111,34.6575989240953
Real Parque,30,-23.6079752130323,-46.7042991018713,3.0611727092180923,16345.91805,32.5,419.5,531242.336625,0.0,0.5666666666666667,16,35,34.47017018886714
Paineiras do Morumbi,1,-23.6016204341445,-46.7068075111177,3.6249731466502184,30480.311400000002,17.0,266.0,518165.29380000004,3.0,1.0,17,56,33.568548892232585
Jardim dos Estados,3,-23.6425865927235,-46.6871128511214,2.829929846748561,17193.3531,30.0,400.0,515800.593,0.0,1.0,18,30,33.40551015098347
Parque Colonial,7,-23.6262067925779,-46.6740249620185,4.0584541480568195,19701.008250000003,26.0,324.0,512226.21450000006,0.0,0.8571428571428571,19,83,33.15906790704804
Chácara Monte Alegre,5,-23.6449459862978,-46.6777412142085,3.885677345026116,15804.754350000001,32.0,488.0,505752.13920000003,0.0,0.8,20,71,32.7127006170873
Vila Plana,2,-23.641044520890098,-46.7410356551731,2.9448196787813217,4567.765125,108.5,925.5,495602.5160625,1.0,0.5,21,32,32.01291577306352
Paraíso do Morumbi,14,-23.62564124077435,-46.72335635493445,1.2792264695653959,18237.34605,26.5,296.0,483289.670325,0.0,0.42857142857142855,22,7,31.163983480979656
