Bairro,pontos,lat_mediana,lon_mediana,distancia_mediana_km,renda_mediana_2025,criancas_0_9_mediana,populacao_mediana,score_trafego_2025,cluster_predominante,cluster_share,rank_score_trafego,rank_proximidade,score_index_0_100
Jardim Panorama D'Oeste,2,-23.602548144696897,-46.701719446623855,4.034641336321124,34061.648774999994,43.5,443.0,1481681.7217124999,2.0,1.0,1,112,100.0
Jardim Dom Bosco,7,-23.6512780509528,-46.7193279247634,4.377686767081882,15952.54815,66.0,518.0,1052868.1779,2.0,0.5714285714285714,2,134,70.16189594785727
Jardim Arpoador,3,-23.5862638717363,-46.7640588122968,4.255891666302622,13576.69005,64.0,442.0,868908.1632,3.0,1.0,3,124,57.36141858594728
Jardim Helga,2,-23.6401256897842,-46.770196105629296,4.184874887397465,13229.560575,59.5,439.0,787158.8542124999,2.0,0.5,4,118,51.67306190282357
Jardim Viana,1,-23.6049773197206,-46.7155666855138,2.6425102449920446,18002.9157,42.0,490.0,756122.4594,2.0,1.0,5,47,49.51345852466236
Vila Praia,4,-23.61951708268365,-46.7442035371925,0.7296210063237426,10621.501274999999,69.5,538.0,738194.3386124999,3.0,0.5,6,4,48.265967298613965
Jardim Fonte do Morumbi,10,-23.6288946069343,-46.719803487967454,2.334934869255692,29437.33485,25.0,297.5,735933.37125,2.0,1.0,7,35,48.10864255830616
Jardim Vitória Régia,6,-23.6226698318481,-46.719179456705746,2.045720367037987,19819.788450000004,35.5,368.0,703602.4899750001,2.0,0.6666666666666666,8,29,45.85896501546546
Vila Elvira,2,-23.642622969087903,-46.704737618223646,4.495690841787258,12680.3061,46.5,456.5,589634.23365,0.0,0.5,9,140,37.928719481165004
Parque Bairro Morumbi,3,-23.6139178871518,-46.7391267136828,0.3241819852850439,14839.84425,37.0,446.0,549074.23725,2.0,0.6666666666666666,10,1,35.10643597263172
Brooklin Paulista,18,-23.60716699498135,-46.69354314556274,4.706796508916913,19713.083775,27.0,260.0,532253.261925,2.0,0.7777777777777778,11,153,33.93598317502761
Real Parque,30,-23.6079752130323,-46.7042991018713,3.650619690681114,16345.91805,32.5,419.5,531242.336625,2.0,0.6,12,92,33.86564002769564
Paineiras do Morumbi,1,-23.6016204341445,-46.706807511117695,3.6059839596997794,30480.311400000002,17.0,266.0,518165.29380000004,2.0,1.0,13,90,32.955701034077265
Vila Plana,2,-23.641044520890098,-46.74103565517311,2.7591133850286678,4567.765125,108.5,925.5,495602.5160625,0.0,0.5,14,51,31.385716784393054
Paraíso do Morumbi,14,-23.62564124077435,-46.72335635493445,1.9538073979612345,18237.34605,26.5,296.0,483289.670325,2.0,0.7142857142857143,15,27,30.528952865448016
Parque do Morumbi,6,-23.638259938864202,-46.7287139805415,2.5727843257942347,21912.60225,21.0,229.0,460164.64725,2.0,0.6666666666666666,16,45,28.91984593616278
Vila Andrade,132,-23.6312095284177,-46.7382303880122,1.6942693190585716,13336.917825,34.5,344.5,460123.66496250004,0.0,0.4393939393939394,17,23,28.91699426840097
Vila Morumbi,7,-23.6122475404393,-46.7087311718121,3.0448648801476406,22881.2892,20.0,265.0,457625.784,2.0,1.0,18,60,28.743184384957704
Jardim Ampliação,21,-23.6259346766437,-46.7301917795664,1.3519245350718185,15623.7774,28.0,341.0,437465.7672,2.0,0.5714285714285714,19,14,27.34039128839831
Jardim Parque Morumbi,11,-23.6213908658444,-46.7295669070841,1.0695273051247784,8971.0698,48.0,334.0,430611.3504,0.0,0.5454545454545454,20,11,26.86344086403255
Jardim Leonor,13,-23.6015422436335,-46.7165315976372,2.7275472523010516,19028.63655,21.0,276.0,399601.36754999997,2.0,0.9230769230769231,21,50,24.70567530768612
Jardim São Mateus,19,-23.6180767375259,-46.7697328703104,3.201482933000502,6257.3049,63.0,497.0,394210.2087,3.0,0.631578947368421,22,67,24.33054266309254
Jardim Novo Taboão,2,-23.621200216854803,-46.747338161579094,1.0646084211567062,6322.78185,62.0,463.5,392012.4747,3.0,1.0,23,10,24.177617885605557
Vila Suzana,62,-23.6176177885528,-46.73723371917975,0.48441176791327567,15793.810725000001,24.5,297.5,386948.3627625,2.0,0.5806451612903226,24,2,23.825242124384513
Jardim Morumbi,13,-23.6329840604765,-46.726761749588,2.4095999844374054,22750.0119,17.0,222.0,386750.2023,2.0,0.6923076923076923,25,38,23.811453538215975
Vila Cruzeiro,22,-23.63502957780485,-46.7139184192138,3.230435725748427,11320.541925,32.5,423.0,367917.6125625,0.0,0.4090909090909091,26,69,22.50102670989605
Granja Julieta,5,-23.6405681789018,-46.701649235976895,4.677219987004215,15250.943400000002,24.0,294.0,366022.64160000003,2.0,0.6,27,151,22.369169072536568
Morumbi,5,-23.5945545594844,-46.7148628244947,3.1463093137399394,21489.04065,17.0,251.0,365313.69104999996,2.0,0.8,28,66,22.31983821397587
Jardim Colombo,9,-23.5994358542832,-46.7303240734462,2.050638178671978,8863.527750000001,40.0,398.0,354541.11000000004,3.0,0.4444444444444444,29,30,21.57025042945247
Jardim Lúcia,2,-23.585381657237953,-46.76663109524375,4.497815902342669,9370.48035,37.5,307.0,351393.013125,0.0,0.5,30,141,21.351196615789465
Chácara Nossa Senhora do Bom Conselho,9,-23.6421666440922,-46.759277592976,3.560751461895318,6601.760550000001,51.0,487.0,336689.78805000003,3.0,0.5555555555555556,31,88,20.328103091761797
Lar São Paulo,6,-23.6092746089601,-46.7415895426116,0.8799065067786778,10627.253175000002,31.0,352.0,329444.84842500003,0.0,0.6666666666666666,32,7,19.823978943862297
Pirajussara,38,-23.611803661236948,-46.76460328246215,2.7720760459696465,6023.33655,53.0,496.0,319236.83715,3.0,0.6842105263157895,33,53,19.113675580118546
Santo Amaro,45,-23.6385673647295,-46.6994630637192,4.600301607935378,11254.920600000001,28.0,334.0,315137.77680000005,0.0,0.4444444444444444,34,146,18.82845093877002
Cidade Jardim,10,-23.5946446148563,-46.6983203560709,4.601731961235743,29901.558225,10.5,199.0,313966.3613625,2.0,1.0,35,147,18.746940416966872
Vila Gomes,13,-23.5758131704736,-46.7334738803508,4.544102001776877,8399.35635,37.0,398.0,310776.18495,3.0,0.46153846153846156,36,145,18.524958585668916
Jardim Caboré,7,-23.6119775868874,-46.7429294086371,0.7416461190011374,10197.11385,30.0,314.0,305913.4155,0.0,0.42857142857142855,37,5,18.18659282524852
Jardim Umuarama,2,-23.643363512380247,-46.767659817279906,4.234483848365159,5511.46365,54.5,557.0,300374.768925,1.0,0.5,38,122,17.801197552180476
Jardim Sílvia (Zona Oeste),1,-23.5968038412571,-46.706313011663,3.9213123135584507,18254.4516,16.0,186.0,292071.2256,2.0,1.0,39,103,17.223412654040317
Jardim das Acácias,10,-23.62454256962485,-46.6910746595183,4.935085234811144,13063.592849999999,21.5,354.0,280867.246275,0.0,0.4,40,159,16.443806912287947
Vila Cordeiro,11,-23.618286733903,-46.6914133098167,4.779041692991056,10189.90665,27.0,364.0,275127.47955000005,0.0,0.6363636363636364,41,154,16.044417109314608
Jardim Iracema,5,-23.6542310929304,-46.7486054115866,4.30058769646078,4729.85205,58.0,633.0,274331.41890000005,3.0,0.6,42,128,15.989024874509397
Jardim das Palmas,8,-23.62000584709375,-46.74608399582495,0.9564479050065265,3658.79745,74.0,538.5,270751.0113,3.0,1.0,43,8,15.739889612670288
Residencial Morumbi,1,-23.6135828331442,-46.753266847667696,1.555716390073591,19271.6139,14.0,250.0,269802.5946,2.0,1.0,44,20,15.673895997058734
Vila América,3,-23.6212938822603,-46.76654120849209,2.9267980038427948,5082.88935,53.0,299.0,269393.13555,0.0,1.0,45,55,15.645404635451149
Vila das Belezas,16,-23.646627218167502,-46.74431611711695,3.435420258033589,5235.2454,51.0,568.0,266997.5154,3.0,0.375,46,82,15.478710359263909
Vila Franca,11,-23.6367203653298,-46.7462549784702,2.451880317279783,2917.7147999999997,91.0,757.0,265512.04679999995,1.0,0.5454545454545454,47,41,15.375347097322786
Jardim das Vertentes,30,-23.587467470327802,-46.742179830665904,3.234194298766292,9076.544399999999,29.0,317.5,263219.7876,0.0,0.5333333333333333,48,71,15.21584497918543
Jardim Adhemar de Barros,5,-23.5789465406609,-46.730022816023,4.261452999198918,7714.245,34.0,496.0,262284.33,0.0,0.4,49,125,15.150753095759818
Jardim Ester Yolanda,3,-23.5796993953064,-46.759488729678,4.6163878963059,5516.66115,47.0,426.0,259283.07405,3.0,1.0,50,150,14.941916904330263
Chácara Santo Antônio (Zona Sul),31,-23.6324983757258,-46.7040894784166,3.871938480415121,11419.77375,22.0,352.0,251235.02250000002,0.0,0.5161290322580645,51,99,14.381909873230262
Jardim Umarizal,20,-23.6245156809466,-46.75458148345885,1.8508832051153647,4026.2838,62.0,561.0,249629.5956,3.0,0.6,52,25,14.270199560947647
Jardim Caravelas,8,-23.637733136067197,-46.7165510093541,3.261350597104845,8438.285625,29.0,352.5,244710.28312500002,0.0,0.5,53,73,13.927899371011868
Jardim Casablanca,10,-23.6508819653436,-46.7459038211765,3.9100602034054655,3817.79475,64.0,488.0,244338.864,3.0,0.4,54,102,13.902054938953649
Cidade Monções,28,-23.6105363491277,-46.691781778194,4.784593487585447,12513.27,19.5,244.0,244008.765,0.0,0.6071428571428571,55,155,13.879085682381346
Fazenda Morumbi,14,-23.6089231545676,-46.72364978386764,1.6184108004981361,6396.395774999999,37.5,430.5,239864.84156249996,0.0,0.35714285714285715,56,22,13.590739335824937
Vila Gertrudes,10,-23.62061330416525,-46.69545037585715,4.391264010870639,17479.31955,13.5,235.5,235970.813925,2.0,0.6,57,135,13.319781471955675
Jardim Pirajussara,1,-23.6289558867977,-46.763910201858494,2.958261341202769,3865.2883500000003,61.0,649.0,235782.58935000002,3.0,1.0,58,57,13.306684253980503
Vila Prel,18,-23.646669697103,-46.757607896325794,3.817354993598701,5319.73365,43.0,420.0,228748.54695000002,3.0,0.6666666666666666,59,97,12.81723495354013
Jardim Odete,3,-23.5753099531678,-46.7439465016796,4.604962640855831,6643.10955,34.0,378.0,225865.7247,0.0,0.6666666666666666,60,148,12.616639726312547
