id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,unidade
452185,2022,"-23.633.897.097.155.000,00","-4.670.674.742.938.750,00",5,kilometer,762.0,"R$ 28.266,39",35.0,79.0,66.0,63.0,243.0,morumbi
455631,2022,"-23.631.669.241.361.600,00","-467.309.391.608.338,00",5,kilometer,625.0,"R$ 24.194,58",69.0,54.0,39.0,25.0,187.0,morumbi
455472,2022,"-23.631.593.153.402.600,00","-4.672.954.482.577.500,00",5,kilometer,491.0,"R$ 34.358,72",24.0,59.0,63.0,33.0,179.0,morumbi
452189,2022,"-23.634.147.779.629.900,00","-467.145.691.422.873,00",5,kilometer,501.0,"R$ 39.839,35",40.0,54.0,39.0,39.0,172.0,morumbi
455541,2022,"-23.620.810.309.390.000,00","-4.674.154.943.909.930,00",5,kilometer,574.0,"R$ 28.157,71",58.0,44.0,46.0,23.0,171.0,morumbi
441535,2022,"-2.361.958.974.184.910,00","-4.669.859.269.457.110,00",5,kilometer,615.0,"R$ 25.051,17",49.0,31.0,48.0,37.0,165.0,morumbi
447309,2022,"-23.602.575.682.106.300,00","-4.669.963.543.214.540,00",5,kilometer,529.0,"R$ 30.590,30",22.0,40.0,51.0,34.0,147.0,morumbi
441530,2022,"-23.620.923.674.692.800,00","-46.695.461.372.536.000,00",5,kilometer,338.0,"R$ 33.901,64",40.0,48.0,20.0,10.0,118.0,morumbi
455486,2022,"-23.632.984.060.476.500,00","-46.726.761.749.588.000,00",5,kilometer,399.0,"R$ 34.812,50",22.0,18.0,42.0,33.0,115.0,morumbi
455415,2022,"-23.635.813.212.626.100,00","-4.673.084.566.351.230,00",5,kilometer,325.0,"R$ 32.260,10",14.0,30.0,39.0,25.0,108.0,morumbi
455540,2022,"-236.212.776.072.815,00","-4.674.083.729.878.080,00",5,kilometer,303.0,"R$ 34.652,59",32.0,32.0,20.0,15.0,99.0,morumbi
455398,2022,"-23.628.646.218.502.600,00","-46.723.365.356.780.500,00",5,kilometer,433.0,"R$ 32.901,46",15.0,22.0,28.0,31.0,96.0,morumbi
455457,2022,"-2.363.294.340.054.600,00","-4.673.445.639.530.250,00",5,kilometer,321.0,"R$ 32.376,41",11.0,18.0,30.0,36.0,95.0,morumbi
455414,2022,"-23.636.298.222.505.400,00","-4.672.894.275.190.230,00",5,kilometer,322.0,"R$ 29.951,60",7.0,19.0,30.0,37.0,93.0,morumbi
455658,2022,"-2.363.245.299.339.530,00","-4.673.065.739.313.180,00",5,kilometer,289.0,"R$ 23.967,79",15.0,17.0,36.0,22.0,90.0,morumbi
452255,2022,"-23.626.078.060.135.000,00","-4.669.687.724.327.540,00",5,kilometer,302.0,"R$ 25.831,01",19.0,37.0,17.0,16.0,89.0,morumbi
455417,2022,"-23.637.377.878.173.500,00","-4.673.152.476.115.020,00",5,kilometer,299.0,"R$ 31.162,00",6.0,16.0,25.0,41.0,88.0,morumbi
455412,2022,"-23.635.659.344.881.100,00","-46.729.992.679.359.600,00",5,kilometer,289.0,"R$ 34.125,23",14.0,19.0,28.0,23.0,84.0,morumbi
455411,2022,"-23.629.487.850.636.900,00","-4.671.904.228.404.200,00",5,kilometer,357.0,"R$ 32.097,56",19.0,11.0,31.0,22.0,83.0,morumbi
455419,2022,"-23.638.331.489.443.000,00","-4.673.011.028.811.990,00",5,kilometer,277.0,"R$ 27.507,40",10.0,32.0,24.0,17.0,83.0,morumbi
455413,2022,"-23.635.695.381.049.700,00","-4.672.912.768.467.490,00",5,kilometer,285.0,"R$ 31.688,39",11.0,20.0,27.0,23.0,81.0,morumbi
