id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,unidade
452185,2022,-23.633897097155,-46.70674742938751,5,kilometer,762.0,"R$ 28.266,39",35.0,79.0,66.0,63.0,243.0,morumbi
455631,2022,-23.6316692413616,-46.7309391608338,5,kilometer,625.0,"R$ 24.194,58",69.0,54.0,39.0,25.0,187.0,morumbi
455472,2022,-23.6315931534026,-46.729544825775,5,kilometer,491.0,"R$ 34.358,72",24.0,59.0,63.0,33.0,179.0,morumbi
452189,2022,-23.6341477796299,-46.714569142287296,5,kilometer,501.0,"R$ 39.839,35",40.0,54.0,39.0,39.0,172.0,morumbi
455541,2022,-23.62081030939,-46.741549439099295,5,kilometer,574.0,"R$ 28.157,71",58.0,44.0,46.0,23.0,171.0,morumbi
441535,2022,-23.6195897418491,-46.698592694571104,5,kilometer,615.0,"R$ 25.051,17",49.0,31.0,48.0,37.0,165.0,morumbi
447309,2022,-23.6025756821063,-46.6996354321454,5,kilometer,529.0,"R$ 30.590,30",22.0,40.0,51.0,34.0,147.0,morumbi
441530,2022,-23.6209236746928,-46.695461372536,5,kilometer,338.0,"R$ 33.901,64",40.0,48.0,20.0,10.0,118.0,morumbi
455486,2022,-23.6329840604765,-46.726761749588,5,kilometer,399.0,"R$ 34.812,50",22.0,18.0,42.0,33.0,115.0,morumbi
455415,2022,-23.6358132126261,-46.73084566351231,5,kilometer,325.0,"R$ 32.260,10",14.0,30.0,39.0,25.0,108.0,morumbi
455540,2022,-23.6212776072815,-46.7408372987808,5,kilometer,303.0,"R$ 34.652,59",32.0,32.0,20.0,15.0,99.0,morumbi
455398,2022,-23.6286462185026,-46.7233653567805,5,kilometer,433.0,"R$ 32.901,46",15.0,22.0,28.0,31.0,96.0,morumbi
455457,2022,-23.632943400546,-46.734456395302495,5,kilometer,321.0,"R$ 32.376,41",11.0,18.0,30.0,36.0,95.0,morumbi
455414,2022,-23.6362982225054,-46.7289427519023,5,kilometer,322.0,"R$ 29.951,60",7.0,19.0,30.0,37.0,93.0,morumbi
455658,2022,-23.6324529933953,-46.7306573931318,5,kilometer,289.0,"R$ 23.967,79",15.0,17.0,36.0,22.0,90.0,morumbi
452255,2022,-23.626078060135,-46.6968772432754,5,kilometer,302.0,"R$ 25.831,01",19.0,37.0,17.0,16.0,89.0,morumbi
455417,2022,-23.6373778781735,-46.7315247611502,5,kilometer,299.0,"R$ 31.162,00",6.0,16.0,25.0,41.0,88.0,morumbi
455412,2022,-23.6356593448811,-46.7299926793596,5,kilometer,289.0,"R$ 34.125,23",14.0,19.0,28.0,23.0,84.0,morumbi
455411,2022,-23.6294878506369,-46.719042284042,5,kilometer,357.0,"R$ 32.097,56",19.0,11.0,31.0,22.0,83.0,morumbi
455419,2022,-23.638331489443,-46.7301102881199,5,kilometer,277.0,"R$ 27.507,40",10.0,32.0,24.0,17.0,83.0,morumbi
455413,2022,-23.6356953810497,-46.72912768467489,5,kilometer,285.0,"R$ 31.688,39",11.0,20.0,27.0,23.0,81.0,morumbi
447270,2022,-23.5879815958341,-46.7109148470656,5,kilometer,352.0,"R$ 29.794,08",15.0,14.0,22.0,26.0,77.0,morumbi
447305,2022,-23.5915686336103,-46.7190349803006,5,kilometer,237.0,"R$ 26.093,76",13.0,16.0,20.0,24.0,73.0,morumbi
441455,2022,-23.6071724528996,-46.6962340435143,5,kilometer,325.0,"R$ 26.852,01",22.0,23.0,16.0,11.0,72.0,morumbi
431371,2022,-23.5743992507879,-46.7330116858953,5,kilometer,289.0,"R$ 30.769,03",18.0,24.0,12.0,13.0,67.0,morumbi
441603,2022,-23.6098898207953,-46.6930348857032,5,kilometer,278.0,"R$ 39.611,20",13.0,22.0,13.0,18.0,66.0,morumbi
447298,2022,-23.6025206072875,-46.703803461102304,5,kilometer,357.0,"R$ 28.390,91",11.0,14.0,22.0,19.0,66.0,morumbi
447287,2022,-23.5907157623352,-46.713372718778096,5,kilometer,352.0,"R$ 36.138,63",5.0,31.0,16.0,13.0,65.0,morumbi
447258,2022,-23.5985304250261,-46.6988958497058,5,kilometer,266.0,"R$ 36.209,01",15.0,17.0,18.0,14.0,64.0,morumbi
455397,2022,-23.6285433941786,-46.7220856856216,5,kilometer,259.0,"R$ 31.514,77",6.0,15.0,16.0,27.0,64.0,morumbi
455416,2022,-23.6364453635479,-46.731411544789296,5,kilometer,279.0,"R$ 34.796,51",,9.0,25.0,29.0,63.0,morumbi
455623,2022,-23.6302572149537,-46.7196506431946,5,kilometer,267.0,"R$ 29.036,36",12.0,11.0,26.0,13.0,62.0,morumbi
447259,2022,-23.5983063468912,-46.697861609769,5,kilometer,285.0,"R$ 39.025,42",14.0,19.0,17.0,10.0,60.0,morumbi
455420,2022,-23.6383632983486,-46.729196120124,5,kilometer,270.0,"R$ 23.830,74",9.0,13.0,25.0,12.0,59.0,morumbi
441585,2022,-23.611009309343,-46.693847514023695,5,kilometer,184.0,"R$ 36.884,35",14.0,17.0,17.0,10.0,58.0,morumbi
447260,2022,-23.5993342301657,-46.69787882467031,5,kilometer,202.0,"R$ 33.625,12",5.0,8.0,23.0,19.0,55.0,morumbi
455622,2022,-23.6301115129524,-46.7212902639424,5,kilometer,299.0,"R$ 38.322,45",20.0,6.0,14.0,14.0,54.0,morumbi
441426,2022,-23.6029816639678,-46.6942273229008,5,kilometer,225.0,"R$ 24.095,04",23.0,12.0,13.0,5.0,53.0,morumbi
447222,2022,-23.5941266488141,-46.7105520198285,5,kilometer,268.0,"R$ 24.957,45",10.0,14.0,17.0,10.0,51.0,morumbi
458252,2022,-23.5868724313653,-46.7401121750863,5,kilometer,279.0,"R$ 36.298,90",9.0,9.0,9.0,23.0,50.0,morumbi
455396,2022,-23.6293114386284,-46.72206624869391,5,kilometer,236.0,"R$ 27.635,47",8.0,12.0,14.0,16.0,50.0,morumbi
447314,2022,-23.6016204341445,-46.706807511117695,5,kilometer,266.0,"R$ 26.389,88",5.0,12.0,8.0,22.0,47.0,morumbi
455418,2022,-23.6379658713797,-46.7309309157845,5,kilometer,152.0,"R$ 29.725,76",,10.0,11.0,23.0,44.0,morumbi
447246,2022,-23.6059248353401,-46.707267218795295,5,kilometer,269.0,"R$ 26.464,02",3.0,9.0,14.0,17.0,43.0,morumbi
455429,2022,-23.6248231679775,-46.7317662967372,5,kilometer,201.0,"R$ 73.198,95",6.0,8.0,12.0,12.0,38.0,morumbi
452257,2022,-23.6296592440474,-46.6953380427808,5,kilometer,286.0,"R$ 33.056,51",8.0,12.0,9.0,9.0,38.0,morumbi
447279,2022,-23.5940254366891,-46.704165651393104,5,kilometer,200.0,"R$ 26.238,12",8.0,6.0,4.0,11.0,29.0,morumbi
441557,2022,-23.6251537915594,-46.6886084728174,5,kilometer,319.0,"R$ 33.907,62",5.0,10.0,7.0,6.0,28.0,morumbi
447247,2022,-23.6065935740077,-46.7066594808199,5,kilometer,193.0,"R$ 27.781,05",3.0,3.0,4.0,17.0,27.0,morumbi
447277,2022,-23.5838102715868,-46.7042361326187,5,kilometer,205.0,"R$ 26.124,55",3.0,4.0,9.0,11.0,27.0,morumbi
