id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,CEP,Bairro,Cidade,UF,Logradouro
452185,2022,-23.633897097155,-46.70674742938751,5,kilometer,762,"28266,39",35.0,79.0,66.0,63.0,243.0,04719-001,Granja Julieta,São Paulo,São Paulo,Rua Verbo Divino
455631,2022,-23.6316692413616,-46.7309391608338,5,kilometer,625,"24194,58",69.0,54.0,39.0,25.0,187.0,05715-010,Vila Andrade,São Paulo,São Paulo,Rua Itapecoca
455472,2022,-23.6315931534026,-46.729544825775,5,kilometer,491,"34358,72",24.0,59.0,63.0,33.0,179.0,05717-270,Vila Andrade,São Paulo,São Paulo,Rua Fábio Lopes dos Santos Luz
452189,2022,-23.6341477796299,-46.714569142287296,5,kilometer,501,"39839,35",40.0,54.0,39.0,39.0,172.0,04726-220,Granja Julieta,São Paulo,São Paulo,Rua Luís Correia de Melo
455541,2022,-23.62081030939,-46.741549439099295,5,kilometer,574,"28157,71",58.0,44.0,46.0,23.0,171.0,05640-003,Paraisópolis,São Paulo,São Paulo,Rua Doutor Luiz Migliano
441535,2022,-23.6195897418491,-46.698592694571104,5,kilometer,615,"25051,17",49.0,31.0,48.0,37.0,165.0,04711-130,Brooklin Novo,São Paulo,São Paulo,Avenida Doutor Chucri Zaidan
447309,2022,-23.6025756821063,-46.6996354321454,5,kilometer,529,"30590,3",22.0,40.0,51.0,34.0,147.0,05676-120,Morumbi,São Paulo,São Paulo,Rua Francisco Rebôlo
441530,2022,-23.6209236746928,-46.695461372536,5,kilometer,338,"33901,64",40.0,48.0,20.0,10.0,118.0,04707-000,Brooklin Novo,São Paulo,São Paulo,Rua Professor José Leite e Oiticica
455486,2022,-23.6329840604765,-46.726761749588,5,kilometer,399,"34812,5",22.0,18.0,42.0,33.0,115.0,05717-270,Vila Andrade,São Paulo,São Paulo,Rua Itapaiúna
455415,2022,-23.6358132126261,-46.73084566351231,5,kilometer,325,"32260,1",14.0,30.0,39.0,25.0,108.0,05707-001,Vila Andrade,São Paulo,São Paulo,
455540,2022,-23.6212776072815,-46.7408372987808,5,kilometer,303,"34652,59",32.0,32.0,20.0,15.0,99.0,05640-003,Paraisópolis,São Paulo,São Paulo,Rua Doutor Luiz Migliano
