id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total
431830,2022,-2.362.866.310.850.830,-4.667.092.614.477.260,5,kilometer,371,"12147,63",13,14,17,11,55
431831,2022,-2.362.481.078.036.940,-4.666.932.730.770.880,5,kilometer,344,"12759,84",16,12,11,10,49
431832,2022,-23.630.548.621.726.300,-466.671.571.740.212,5,kilometer,372,"6150,53",15,10,11,11,47
431835,2022,-23.635.863.726.260.000,-46.671.313.706.326.500,5,kilometer,362,"7752,02",16,17,11,15,59
431836,2022,-23.633.879.940.654.200,-4.666.995.017.987.230,5,kilometer,407,"1739,35",29,31,37,43,140
431837,2022,-23.632.971.013.983.100,-4.667.335.644.153,5,kilometer,453,"7220,12",14,32,32,30,108
431838,2022,-23.631.048.857.132.600,-4.667.545.493.973.260,5,kilometer,306,"13643,02",13,15,17,13,58
431839,2022,-2.362.470.843.887.180,-4.667.174.600.039.900,5,kilometer,400,"15228,9",14,12,14,17,57
431840,2022,-2.362.229.393.117.650,-46.670.738.374.975.900,5,kilometer,452,"16218,93",20,25,21,20,86
431849,2022,-23.637.067.289.970.600,-4.666.853.332.255.390,5,kilometer,373,"6278,21",15,11,19,13,58
431850,2022,-236.401.850.877.585,-4.667.174.226.198.800,5,kilometer,448,"8090,96",11,14,17,20,62
431851,2022,-23.641.397.568.319.000,-4.667.177.152.789.760,5,kilometer,543,"9708,23",22,23,15,21,81
431852,2022,-23.637.648.390.061.000,-4.667.331.916.503.790,5,kilometer,257,"8441,2",7,9,15,14,45
431853,2022,-2.362.869.743.312.080,-4.668.268.047.665.390,5,kilometer,438,"11048,53",14,34,31,22,101
431854,2022,-2.362.672.903.771.560,-4.668.052.829.349.650,5,kilometer,406,"12695,13",21,23,20,22,86
431855,2022,-2.362.217.086.687.320,-46.674.340.599.140.900,5,kilometer,312,"16677,5",19,20,14,18,71
431920,2022,-2.362.206.380.620.310,-46.672.737.296.581.700,5,kilometer,237,"8579,82",3,9,8,12,32
431921,2022,-236.209.451.213.855,-46.671.663.256.464.600,5,kilometer,435,"10043,33",16,12,12,11,51
431922,2022,-23.619.301.832.436.300,-46.671.565.969.199.900,5,kilometer,296,"14744,06",11,10,12,18,51
431928,2022,-2.364.000.596.340.190,-4.666.806.693.708.510,5,kilometer,323,"7246,45",9,12,8,16,45
431929,2022,-2.364.153.772.434.300,-4.667.370.258.053.890,5,kilometer,317,"6365,98",6,20,13,6,45
431930,2022,-23.631.663.653.891.000,-4.668.165.513.947.050,5,kilometer,303,"5234,64",13,13,12,15,53
431931,2022,-23.626.396.713.534.400,-4.668.537.872.820.070,5,kilometer,301,"22933,93",7,15,15,20,57
431932,2022,-23.622.738.836.620.500,-4.668.411.703.509.160,5,kilometer,216,"40136,19",11,8,5,8,32
431933,2022,-23.623.092.812.388.200,-466.813.383.023.315,5,kilometer,354,"10843,62",13,11,19,6,49
431936,2022,-23.617.873.266.917.900,-4.667.713.243.015.750,5,kilometer,424,"18226,11",14,10,22,19,65
431937,2022,-23.616.290.030.742.300,-46.675.371.986.984.500,5,kilometer,225,"14911,77",,6,5,20,31
431938,2022,-23.616.884.885.606.300,-4.667.288.506.307.900,5,kilometer,311,"13329,35",22,20,17,7,66
431939,2022,-23.619.108.822.098.800,-4.667.298.643.130.870,5,kilometer,206,"17189,62",3,8,5,4,20
431940,2022,-2.361.637.171.965.810,-4.667.867.699.222.420,5,kilometer,519,"16631,95",16,10,16,20,62
431941,2022,-23.612.011.753.609.900,-4.667.623.593.255.660,5,kilometer,211,"9818,23",9,8,10,14,41
431942,2022,-23.613.375.988.076.900,-4.667.390.375.706.230,5,kilometer,448,"15223,82",27,16,19,31,93
