id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total
452185,2022,"-23.633.897.097.155.000,00","-4.670.674.742.938.750,00",5,kilometer,762,"R$ 28.266,39",35,79,66,63,243
455631,2022,"-23.631.669.241.361.600,00","-467.309.391.608.338,00",5,kilometer,625,"R$ 24.194,58",69,54,39,25,187
455472,2022,"-23.631.593.153.402.600,00","-4.672.954.482.577.500,00",5,kilometer,491,"R$ 34.358,72",24,59,63,33,179
452189,2022,"-23.634.147.779.629.900,00","-467.145.691.422.873,00",5,kilometer,501,"R$ 39.839,35",40,54,39,39,172
455541,2022,"-23.620.810.309.390.000,00","-4.674.154.943.909.930,00",5,kilometer,574,"R$ 28.157,71",58,44,46,23,171
441535,2022,"-2.361.958.974.184.910,00","-4.669.859.269.457.110,00",5,kilometer,615,"R$ 25.051,17",49,31,48,37,165
447309,2022,"-23.602.575.682.106.300,00","-4.669.963.543.214.540,00",5,kilometer,529,"R$ 30.590,30",22,40,51,34,147
441530,2022,"-23.620.923.674.692.800,00","-46.695.461.372.536.000,00",5,kilometer,338,"R$ 33.901,64",40,48,20,10,118
455486,2022,"-23.632.984.060.476.500,00","-46.726.761.749.588.000,00",5,kilometer,399,"R$ 34.812,50",22,18,42,33,115
455415,2022,"-23.635.813.212.626.100,00","-4.673.084.566.351.230,00",5,kilometer,325,"R$ 32.260,10",14,30,39,25,108
455540,2022,"-236.212.776.072.815,00","-4.674.083.729.878.080,00",5,kilometer,303,"R$ 34.652,59",32,32,20,15,99
455398,2022,"-23.628.646.218.502.600,00","-46.723.365.356.780.500,00",5,kilometer,433,"R$ 32.901,46",15,22,28,31,96
455457,2022,"-2.363.294.340.054.600,00","-4.673.445.639.530.250,00",5,kilometer,321,"R$ 32.376,41",11,18,30,36,95
455414,2022,"-23.636.298.222.505.400,00","-4.672.894.275.190.230,00",5,kilometer,322,"R$ 29.951,60",7,19,30,37,93
455658,2022,"-2.363.245.299.339.530,00","-4.673.065.739.313.180,00",5,kilometer,289,"R$ 23.967,79",15,17,36,22,90
452255,2022,"-23.626.078.060.135.000,00","-4.669.687.724.327.540,00",5,kilometer,302,"R$ 25.831,01",19,37,17,16,89
455417,2022,"-23.637.377.878.173.500,00","-4.673.152.476.115.020,00",5,kilometer,299,"R$ 31.162,00",6,16,25,41,88
455412,2022,"-23.635.659.344.881.100,00","-46.729.992.679.359.600,00",5,kilometer,289,"R$ 34.125,23",14,19,28,23,84
455411,2022,"-23.629.487.850.636.900,00","-4.671.904.228.404.200,00",5,kilometer,357,"R$ 32.097,56",19,11,31,22,83
455419,2022,"-23.638.331.489.443.000,00","-4.673.011.028.811.990,00",5,kilometer,277,"R$ 27.507,40",10,32,24,17,83
455413,2022,"-23.635.695.381.049.700,00","-4.672.912.768.467.490,00",5,kilometer,285,"R$ 31.688,39",11,20,27,23,81
447270,2022,"-23.587.981.595.834.100,00","-4.671.091.484.706.560,00",5,kilometer,352,"R$ 29.794,08",15,14,22,26,77
447305,2022,"-23.591.568.633.610.300,00","-4.671.903.498.030.060,00",5,kilometer,237,"R$ 26.093,76",13,16,20,24,73
441455,2022,"-23.607.172.452.899.600,00","-4.669.623.404.351.430,00",5,kilometer,325,"R$ 26.852,01",22,23,16,11,72
431371,2022,"-2.357.439.925.078.790,00","-4.673.301.168.589.530,00",5,kilometer,289,"R$ 30.769,03",18,24,12,13,67
441603,2022,"-23.609.889.820.795.300,00","-4.669.303.488.570.320,00",5,kilometer,278,"R$ 39.611,20",13,22,13,18,66
447298,2022,"-2.360.252.060.728.750,00","-46.703.803.461.102.300,00",5,kilometer,357,"R$ 28.390,91",11,14,22,19,66
447287,2022,"-23.590.715.762.335.200,00","-4.671.337.271.877.810,00",5,kilometer,352,"R$ 36.138,63",5,31,16,13,65
447258,2022,"-23.598.530.425.026.100,00","-4.669.889.584.970.580,00",5,kilometer,266,"R$ 36.209,01",15,17,18,14,64
455397,2022,"-2.362.854.339.417.860,00","-4.672.208.568.562.160,00",5,kilometer,259,"R$ 31.514,77",6,15,16,27,64
455416,2022,"-2.363.644.536.354.790,00","-4.673.141.154.478.930,00",5,kilometer,279,"R$ 34.796,51",,9,25,29,63
455623,2022,"-23.630.257.214.953.700,00","-4.671.965.064.319.460,00",5,kilometer,267,"R$ 29.036,36",12,11,26,13,62
447259,2022,"-23.598.306.346.891.200,00","-4.669.786.160.976.900,00",5,kilometer,285,"R$ 39.025,42",14,19,17,10,60
455420,2022,"-2.363.836.329.834.860,00","-46.729.196.120.124.000,00",5,kilometer,270,"R$ 23.830,74",9,13,25,12,59
441585,2022,"-23.611.009.309.343.000,00","-4.669.384.751.402.370,00",5,kilometer,184,"R$ 36.884,35",14,17,17,10,58
447260,2022,"-23.599.334.230.165.700,00","-4.669.787.882.467.030,00",5,kilometer,202,"R$ 33.625,12",5,8,23,19,55
455622,2022,"-23.630.111.512.952.400,00","-46.721.290.263.942.400,00",5,kilometer,299,"R$ 38.322,45",20,6,14,14,54
441426,2022,"-23.602.981.663.967.800,00","-4.669.422.732.290.080,00",5,kilometer,225,"R$ 24.095,04",23,12,13,5,53
447222,2022,"-23.594.126.648.814.100,00","-4.671.055.201.982.850,00",5,kilometer,268,"R$ 24.957,45",10,14,17,10,51
458252,2022,"-23.586.872.431.365.300,00","-4.674.011.217.508.630,00",5,kilometer,279,"R$ 36.298,90",9,9,9,23,50
455396,2022,"-23.629.311.438.628.400,00","-46.722.066.248.693.900,00",5,kilometer,236,"R$ 27.635,47",8,12,14,16,50
447314,2022,"-23.601.620.434.144.500,00","-4.670.680.751.111.770,00",5,kilometer,266,"R$ 26.389,88",5,12,8,22,47
455418,2022,"-23.637.965.871.379.700,00","-4.673.093.091.578.450,00",5,kilometer,152,"R$ 29.725,76",,10,11,23,44
447246,2022,"-23.605.924.835.340.100,00","-4.670.726.721.879.530,00",5,kilometer,269,"R$ 26.464,02",3,9,14,17,43
455429,2022,"-2.362.482.316.797.750,00","-46.731.766.296.737.200,00",5,kilometer,201,"R$ 73.198,95",6,8,12,12,38
452257,2022,"-23.629.659.244.047.400,00","-4.669.533.804.278.080,00",5,kilometer,286,"R$ 33.056,51",8,12,9,9,38
447279,2022,"-23.594.025.436.689.100,00","-4.670.416.565.139.310,00",5,kilometer,200,"R$ 26.238,12",8,6,4,11,29
441557,2022,"-2.362.515.379.155.940,00","-4.668.860.847.281.740,00",5,kilometer,319,"R$ 33.907,62",5,10,7,6,28
447247,2022,"-2.360.659.357.400.770,00","-4.670.665.948.081.990,00",5,kilometer,193,"R$ 27.781,05",3,3,4,17,27
447277,2022,"-23.583.810.271.586.800,00","-46.704.236.132.618.700,00",5,kilometer,205,"R$ 26.124,55",3,4,9,11,27
